ID,Country,station,location,lon,lat,Q50,Q80,Q90
G0959,Mali,G0959,Tossaye,-3.55,16.15,6848.83447265625,9828.258984375001,10598.94873046875
G0960,Mali,G0960,Koryoume,-3.05,16.65,6678.431396484375,9616.889843750001,10460.169824218749
G0963,Mali,G0963,Goundam,-3.65,16.45,0.015931335277855396,0.17642911672592165,1.0133987218141636
G0966,Mali,G0966,Dire,-3.35,16.25,6734.64013671875,9691.016015625,10486.636328125
G0968,Mali,G0968,Tonka,-3.75,16.15,6868.02783203125,9843.925976562501,10659.205078125
G0970,Mali,G0970,Sarafere,-3.65,15.85,2.096978460031096e-05,0.0001311696483753622,0.0006457405281253171
G0976,Mali,G0976,Ansongo,0.45,15.65,6260.97705078125,9159.5962890625,9850.34736328125
G0979,Mali,G0979,Akka,-4.25,15.45,7111.037109375,9998.20546875,10965.7265625
G0988,Mali,G0988,Bakel,-11.55,14.45,2910.6695556640625,5505.369335937501,8210.0591796875
G0994,Mali,G0994,Nantaka  Mopti,-4.15,14.65,7531.406982421875,10318.979296875,11302.141796875001
G0995,Mali,G0995,Kayes,-11.35,14.35,2690.8792724609375,4752.9307617187515,7328.811083984376
G0998,Mali,G0998,Kabate,-9.05,16.75,0.0003828885674010962,2.551349639892581,5.77093591690064
G0999,Mali,G0999,Kara,-5.05,14.15,6205.302001953125,8642.125195312501,9266.910546875
G1000,Mali,G1000,Tilembeya,-4.55,14.25,6134.89453125,8474.110546875001,9180.43427734375
G1001,Mali,G1001,Sofara,-4.15,14.25,2070.12060546875,2978.8065429687504,4211.57509765625
G1002,Mali,G1002,Ke Macina,-5.25,13.95,6234.11767578125,8687.484375,9365.72431640625
G1003,Mali,G1003,Galougo,-10.85,13.85,2639.456298828125,3958.359228515625,6339.807568359377
G1005,Mali,G1005,Kirango Aval,-6.05,13.75,6297.40185546875,8916.6572265625,9699.04013671875
G1009,Mali,G1009,Toukoto,-9.75,13.35,827.9099731445312,1570.553637695313,1934.8839111328125
G1010,Mali,G1010,Beneny Kegny,-4.95,13.35,2210.7230224609375,3135.0426269531254,4395.630126953125
G1011,Mali,G1011,Oualia,-9.95,13.55,1777.4080200195312,2198.2863281249997,3295.0458984375036
G1014,Mali,G1014,Siramakana,-9.05,14.25,379.61912536621094,1239.9394531250005,1666.1709228515633
G1015,Mali,G1015,Gourbassy,-11.55,13.15,848.2325744628906,1183.06953125,1539.485925292969
G1016,Mali,G1016,Douna,-5.85,13.25,2335.3043212890625,3461.854833984375,4566.668505859376
