name,pcode,subsistenc,Impact_data,fr,catchment,data_df2_f,Glofas_st,Glofas_st2,Glofas_st3,Glofas_st4,Total_Glofas,mountainuous,close_to_lake,Affected_noGlofas
Agago,21UGA001001,0.9076,0,7,,7,,,,,0,0,,0
Amuru,21UGA001002,,1,,,,F0037,,,,1,,,0
Amuria,21UGA013001,0.8468,0,22,,22,G5196,G6106,,,2,0,,0
Bududa,21UGA006001,0.8822,1,17,0,17,,,,,0,1,,1
Bukedea,21UGA013002,0.8689,0,8,,8,G5200,,,,1,,,0
Bukwo,21UGA006002,,1,,,,,,,,0,1,,1
Bulambuli,21UGA006003,0.8528,1,8,,8,,,,,0,1,,1
Bushenyi,21UGA002002,0.6866,0,9,,9,,,,,0,,,0
Butaleja,21UGA003003,0.8995,1,20,,20,F0032,,,,1,,,0
Buyende,21UGA005003,,1,,,,,,,,0,,,1
Gulu,21UGA001003,0.4766,1,9,,9,F0037,,,,1,,,0
Isingiro,21UGA002004,0.826,0,8,,8,,,,,0,,,0
Kaabong,21UGA008003,0.8318,1,9,,9,F0042,,,,1,,,0
Kabale,21UGA009001,0.7522,1,11,0,11,,,,,0,,,1
Kampala,21UGA007001,0.012,1,26,,26,,,,,0,,,1
Kamwenge,21UGA014004,0.1865,0,8,,8,F0036,,,,1,,,0
Kamuli,21UGA005007,,1,,,,,,,,0,,,1
Kanungu,21UGA009002,0.8228,0,8,,8,F0038,,,,1,,,0
Kapchorwa,21UGA006004,0.7278,0,10,0,10,,,,,0,1,,0
Kasese,21UGA014005,0.738,1,24,,24,,,,,0,1,,1
Katakwi,21UGA013005,0.8403,1,21,,21,F0034,G5196,G5200,G6106,4,,,0
Kibaale,21UGA004005,0.8356,0,7,,7,,,,,0,,,0
Kisoro,21UGA009003,0.8755,0,14,0,14,,,,,0,,,0
Kotido,21UGA008004,0.8032,0,8,,8,F0042,,,,1,,,0
Kumi,21UGA013006,0.8298,0,9,,9,G5200,,,,1,,,0
Lira,21UGA010007,0.6593,1,13,,13,,,,,0,,,1
Manafwa,21UGA006006,0.8724,0,8,,8,,,,,0,1,,0
Masaka,21UGA012009,0.4673,0,7,,7,,,,,0,,1,0
Mbale,21UGA006007,0.6563,0,11,,11,,,,,0,1,,0
Mbarara,21UGA002006,0.5907,1,7,,7,F0035,,,,1,,,0
Moroto,21UGA008005,,0,13,,13,,,,,0,,,0
Moyo,21UGA015005,0.8868,0,10,,10,,,,,0,1,,0
Mubende,21UGA011009,0.766,0,8,,8,,,,,0,,,0
Mukono,21UGA011010,,1,,,,,,,,0,,1,1
Nakapiripirit,21UGA008007,0.8434,0,10,,10,,,,,0,,,0
Nakaseke,21UGA011011,,1,,,,F0033,F0039,,,2,,,0
Napak,21UGA008008,0.768,0,9,,9,G6106,,,,1,,,0
Nebbi,21UGA015006,0.9204,0,17,,17,,,,,0,,,0
Ntoroko,21UGA014008,0.5678,1,11,,11,F0040,,,,1,,1,0
Otuke,21UGA010008,0.9074,0,8,,8,,,,,0,,,0
Pallisa,21UGA003006,,0,,,,F0034,F0030,F0032,,3,,,0
Rubanda,21UGA009004,,0,,,,,,,,0,1,,0
Serere,21UGA013008,0.8841,0,7,,7,F0034,,,,1,,1,0
Sironko,21UGA006009,0.838,0,17,,17,,,,,0,1,,0
Soroti,21UGA013009,0.708,0,12,,12,F0034,,,,1,,,0
Tororo,21UGA003007,0.802,1,14,,14,F0032,,,,1,,,0
Wakiso,21UGA011013,,1,,,,F0039,,,,1,,,0
