id,adminLevel,placeCode,value,countryCodeISO3,indicator
1,3,ET010101,1,ETH,Hotspot_Health
2,3,ET010102,1,ETH,Hotspot_Health
3,3,ET010103,1,ETH,Hotspot_Health
4,3,ET010104,1,ETH,Hotspot_Health
5,3,ET010105,1,ETH,Hotspot_Health
6,3,ET010106,1,ETH,Hotspot_Health
7,3,ET010107,0.1,ETH,Hotspot_Health
8,3,ET010108,0.1,ETH,Hotspot_Health
9,3,ET010109,1,ETH,Hotspot_Health
10,3,ET010110,1,ETH,Hotspot_Health
11,3,ET010111,1,ETH,Hotspot_Health
12,3,ET010112,1,ETH,Hotspot_Health
13,3,ET010113,1,ETH,Hotspot_Health
14,3,ET010114,0.1,ETH,Hotspot_Health
15,3,ET010115,1,ETH,Hotspot_Health
16,3,ET010116,0.1,ETH,Hotspot_Health
17,3,ET010201,1,ETH,Hotspot_Health
18,3,ET010202,1,ETH,Hotspot_Health
19,3,ET010203,1,ETH,Hotspot_Health
20,3,ET010204,1,ETH,Hotspot_Health
21,3,ET010205,1,ETH,Hotspot_Health
22,3,ET010206,1,ETH,Hotspot_Health
23,3,ET010207,1,ETH,Hotspot_Health
24,3,ET010208,1,ETH,Hotspot_Health
25,3,ET010209,1,ETH,Hotspot_Health
26,3,ET010210,1,ETH,Hotspot_Health
27,3,ET010211,0.1,ETH,Hotspot_Health
28,3,ET010212,0.1,ETH,Hotspot_Health
29,3,ET010213,0.1,ETH,Hotspot_Health
30,3,ET010214,1,ETH,Hotspot_Health
31,3,ET010215,1,ETH,Hotspot_Health
32,3,ET010216,1,ETH,Hotspot_Health
33,3,ET010217,1,ETH,Hotspot_Health
34,3,ET010218,1,ETH,Hotspot_Health
35,3,ET010219,1,ETH,Hotspot_Health
36,3,ET010220,0.1,ETH,Hotspot_Health
37,3,ET010221,1,ETH,Hotspot_Health
38,3,ET010222,1,ETH,Hotspot_Health
39,3,ET010301,1,ETH,Hotspot_Health
40,3,ET010302,1,ETH,Hotspot_Health
41,3,ET010303,1,ETH,Hotspot_Health
42,3,ET010304,1,ETH,Hotspot_Health
43,3,ET010305,1,ETH,Hotspot_Health
44,3,ET010306,1,ETH,Hotspot_Health
45,3,ET010307,1,ETH,Hotspot_Health
46,3,ET010308,0.1,ETH,Hotspot_Health
47,3,ET010309,0.1,ETH,Hotspot_Health
48,3,ET010310,1,ETH,Hotspot_Health
49,3,ET010311,0.1,ETH,Hotspot_Health
50,3,ET010312,0.1,ETH,Hotspot_Health
51,3,ET010313,0.1,ETH,Hotspot_Health
52,3,ET010314,1,ETH,Hotspot_Health
53,3,ET010315,0.1,ETH,Hotspot_Health
54,3,ET010316,1,ETH,Hotspot_Health
55,3,ET010317,1,ETH,Hotspot_Health
56,3,ET010318,0.1,ETH,Hotspot_Health
57,3,ET010401,1,ETH,Hotspot_Health
58,3,ET010402,1,ETH,Hotspot_Health
59,3,ET010403,1,ETH,Hotspot_Health
60,3,ET010404,1,ETH,Hotspot_Health
61,3,ET010405,1,ETH,Hotspot_Health
62,3,ET010406,1,ETH,Hotspot_Health
63,3,ET010407,1,ETH,Hotspot_Health
64,3,ET010408,1,ETH,Hotspot_Health
65,3,ET010409,0.1,ETH,Hotspot_Health
66,3,ET010410,0.1,ETH,Hotspot_Health
67,3,ET010411,0.1,ETH,Hotspot_Health
68,3,ET010412,0.1,ETH,Hotspot_Health
69,3,ET010413,1,ETH,Hotspot_Health
70,3,ET010414,1,ETH,Hotspot_Health
71,3,ET010501,1,ETH,Hotspot_Health
72,3,ET010502,1,ETH,Hotspot_Health
73,3,ET010503,1,ETH,Hotspot_Health
74,3,ET010504,1,ETH,Hotspot_Health
75,3,ET010505,1,ETH,Hotspot_Health
76,3,ET010506,0.1,ETH,Hotspot_Health
77,3,ET010507,1,ETH,Hotspot_Health
78,3,ET010508,1,ETH,Hotspot_Health
79,3,ET010509,1,ETH,Hotspot_Health
80,3,ET010601,1,ETH,Hotspot_Health
81,3,ET010602,1,ETH,Hotspot_Health
82,3,ET010603,1,ETH,Hotspot_Health
83,3,ET010604,1,ETH,Hotspot_Health
84,3,ET010605,0.1,ETH,Hotspot_Health
85,3,ET010606,1,ETH,Hotspot_Health
86,3,ET010607,1,ETH,Hotspot_Health
87,3,ET010608,1,ETH,Hotspot_Health
88,3,ET010701,1,ETH,Hotspot_Health
89,3,ET020101,1,ETH,Hotspot_Health
90,3,ET020102,1,ETH,Hotspot_Health
91,3,ET020103,1,ETH,Hotspot_Health
92,3,ET020104,1,ETH,Hotspot_Health
93,3,ET020105,1,ETH,Hotspot_Health
94,3,ET020106,1,ETH,Hotspot_Health
95,3,ET020107,0.1,ETH,Hotspot_Health
96,3,ET020108,1,ETH,Hotspot_Health
97,3,ET020109,1,ETH,Hotspot_Health
98,3,ET020110,1,ETH,Hotspot_Health
99,3,ET020111,0.1,ETH,Hotspot_Health
100,3,ET020198,0.1,ETH,Hotspot_Health
101,3,ET020201,1,ETH,Hotspot_Health
102,3,ET020202,1,ETH,Hotspot_Health
103,3,ET020203,1,ETH,Hotspot_Health
104,3,ET020204,1,ETH,Hotspot_Health
105,3,ET020205,1,ETH,Hotspot_Health
106,3,ET020206,1,ETH,Hotspot_Health
107,3,ET020207,1,ETH,Hotspot_Health
108,3,ET020208,1,ETH,Hotspot_Health
109,3,ET020209,0.1,ETH,Hotspot_Health
110,3,ET020301,1,ETH,Hotspot_Health
111,3,ET020302,1,ETH,Hotspot_Health
112,3,ET020303,1,ETH,Hotspot_Health
113,3,ET020304,1,ETH,Hotspot_Health
114,3,ET020305,1,ETH,Hotspot_Health
115,3,ET020306,1,ETH,Hotspot_Health
116,3,ET020307,1,ETH,Hotspot_Health
117,3,ET020396,0.1,ETH,Hotspot_Health
118,3,ET020401,1,ETH,Hotspot_Health
119,3,ET020402,1,ETH,Hotspot_Health
120,3,ET020403,1,ETH,Hotspot_Health
121,3,ET020404,1,ETH,Hotspot_Health
122,3,ET020405,1,ETH,Hotspot_Health
123,3,ET020501,1,ETH,Hotspot_Health
124,3,ET020502,1,ETH,Hotspot_Health
125,3,ET020503,1,ETH,Hotspot_Health
126,3,ET020504,1,ETH,Hotspot_Health
127,3,ET020505,1,ETH,Hotspot_Health
128,3,ET030101,1,ETH,Hotspot_Health
129,3,ET030102,1,ETH,Hotspot_Health
130,3,ET030103,1,ETH,Hotspot_Health
131,3,ET030104,1,ETH,Hotspot_Health
132,3,ET030105,1,ETH,Hotspot_Health
133,3,ET030106,0.1,ETH,Hotspot_Health
134,3,ET030119,1,ETH,Hotspot_Health
135,3,ET030198,0.1,ETH,Hotspot_Health
136,3,ET030201,1,ETH,Hotspot_Health
137,3,ET030202,0.1,ETH,Hotspot_Health
138,3,ET030203,0.1,ETH,Hotspot_Health
139,3,ET030204,0.1,ETH,Hotspot_Health
140,3,ET030205,1,ETH,Hotspot_Health
141,3,ET030206,2,ETH,Hotspot_Health
142,3,ET030207,1,ETH,Hotspot_Health
143,3,ET030208,0.1,ETH,Hotspot_Health
144,3,ET030209,0.1,ETH,Hotspot_Health
145,3,ET030210,0.1,ETH,Hotspot_Health
146,3,ET030211,0.1,ETH,Hotspot_Health
147,3,ET030212,2,ETH,Hotspot_Health
148,3,ET030213,1,ETH,Hotspot_Health
149,3,ET030214,1,ETH,Hotspot_Health
150,3,ET030215,0.1,ETH,Hotspot_Health
151,3,ET030293,0.1,ETH,Hotspot_Health
152,3,ET030298,0.1,ETH,Hotspot_Health
153,3,ET030299,0.1,ETH,Hotspot_Health
154,3,ET030301,2,ETH,Hotspot_Health
155,3,ET030302,1,ETH,Hotspot_Health
156,3,ET030303,2,ETH,Hotspot_Health
157,3,ET030304,2,ETH,Hotspot_Health
158,3,ET030305,2,ETH,Hotspot_Health
