id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,64,ETH,motorized_travel_time_to_health,3
2,ET010102,65,ETH,motorized_travel_time_to_health,3
3,ET010103,58,ETH,motorized_travel_time_to_health,3
4,ET010104,58,ETH,motorized_travel_time_to_health,3
5,ET010105,72,ETH,motorized_travel_time_to_health,3
6,ET010106,128,ETH,motorized_travel_time_to_health,3
7,ET010107,13,ETH,motorized_travel_time_to_health,3
8,ET010108,1,ETH,motorized_travel_time_to_health,3
9,ET010109,42,ETH,motorized_travel_time_to_health,3
10,ET010110,36,ETH,motorized_travel_time_to_health,3
11,ET010111,46,ETH,motorized_travel_time_to_health,3
12,ET010112,50,ETH,motorized_travel_time_to_health,3
13,ET010113,67,ETH,motorized_travel_time_to_health,3
14,ET010114,2,ETH,motorized_travel_time_to_health,3
15,ET010115,71,ETH,motorized_travel_time_to_health,3
16,ET010116,1,ETH,motorized_travel_time_to_health,3
17,ET010201,54,ETH,motorized_travel_time_to_health,3
18,ET010202,32,ETH,motorized_travel_time_to_health,3
19,ET010203,35,ETH,motorized_travel_time_to_health,3
20,ET010204,24,ETH,motorized_travel_time_to_health,3
21,ET010205,35,ETH,motorized_travel_time_to_health,3
22,ET010206,47,ETH,motorized_travel_time_to_health,3
23,ET010207,55,ETH,motorized_travel_time_to_health,3
24,ET010208,62,ETH,motorized_travel_time_to_health,3
25,ET010209,44,ETH,motorized_travel_time_to_health,3
26,ET010210,42,ETH,motorized_travel_time_to_health,3
27,ET010211,5,ETH,motorized_travel_time_to_health,3
28,ET010212,2,ETH,motorized_travel_time_to_health,3
29,ET010213,1,ETH,motorized_travel_time_to_health,3
30,ET010214,33,ETH,motorized_travel_time_to_health,3
31,ET010215,42,ETH,motorized_travel_time_to_health,3
32,ET010216,31,ETH,motorized_travel_time_to_health,3
33,ET010217,39,ETH,motorized_travel_time_to_health,3
34,ET010218,58,ETH,motorized_travel_time_to_health,3
35,ET010219,23,ETH,motorized_travel_time_to_health,3
36,ET010220,11,ETH,motorized_travel_time_to_health,3
37,ET010221,34,ETH,motorized_travel_time_to_health,3
38,ET010222,29,ETH,motorized_travel_time_to_health,3
39,ET010301,22,ETH,motorized_travel_time_to_health,3
40,ET010302,132,ETH,motorized_travel_time_to_health,3
41,ET010303,61,ETH,motorized_travel_time_to_health,3
42,ET010304,25,ETH,motorized_travel_time_to_health,3
43,ET010305,19,ETH,motorized_travel_time_to_health,3
44,ET010306,19,ETH,motorized_travel_time_to_health,3
45,ET010307,50,ETH,motorized_travel_time_to_health,3
46,ET010308,1,ETH,motorized_travel_time_to_health,3
47,ET010309,6,ETH,motorized_travel_time_to_health,3
48,ET010310,30,ETH,motorized_travel_time_to_health,3
49,ET010311,6,ETH,motorized_travel_time_to_health,3
50,ET010312,2,ETH,motorized_travel_time_to_health,3
51,ET010313,1,ETH,motorized_travel_time_to_health,3
52,ET010314,52,ETH,motorized_travel_time_to_health,3
53,ET010315,0,ETH,motorized_travel_time_to_health,3
54,ET010316,61,ETH,motorized_travel_time_to_health,3
55,ET010317,28,ETH,motorized_travel_time_to_health,3
56,ET010318,0,ETH,motorized_travel_time_to_health,3
57,ET010401,83,ETH,motorized_travel_time_to_health,3
58,ET010402,40,ETH,motorized_travel_time_to_health,3
59,ET010403,70,ETH,motorized_travel_time_to_health,3
60,ET010404,61,ETH,motorized_travel_time_to_health,3
61,ET010405,48,ETH,motorized_travel_time_to_health,3
62,ET010406,59,ETH,motorized_travel_time_to_health,3
63,ET010407,49,ETH,motorized_travel_time_to_health,3
64,ET010408,61,ETH,motorized_travel_time_to_health,3
65,ET010409,1,ETH,motorized_travel_time_to_health,3
66,ET010410,4,ETH,motorized_travel_time_to_health,3
67,ET010411,3,ETH,motorized_travel_time_to_health,3
