County;sub_county;ward;Location;Sub_Location;other;scene;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;services.disrupted;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera.cases;situation;data_source;dref no;glidenumber;ID;data_quality;magnitude_impact;date_recorded
Baringo;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;appeal no. 14/02;0;6;1;1;2002/05/13 00:00:00
Tana River;0;0;0;0;0;0;0;0;0;0;0;27000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;appeal no. 14/02;0;1326;1;1;2002/05/13 00:00:00
Baringo;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;7;1;1;2002/05/14 00:00:00
Bungoma;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;62;1;1;2002/05/14 00:00:00
Busia;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;87;1;1;2002/05/14 00:00:00
Elgeyo-Marakwet;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;124;1;1;2002/05/14 00:00:00
Embu;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;143;1;1;2002/05/14 00:00:00
Kakamega;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;356;1;1;2002/05/14 00:00:00
Kericho;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;377;1;1;2002/05/14 00:00:00
Kiambu;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;383;1;1;2002/05/14 00:00:00
Kirinyaga;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;470;1;1;2002/05/14 00:00:00
Kisii;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;487;1;1;2002/05/14 00:00:00
Kisumu;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;504;1;1;2002/05/14 00:00:00
Kitui;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;614;1;1;2002/05/14 00:00:00
Laikipia;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;654;1;1;2002/05/14 00:00:00
Machakos;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;676;1;1;2002/05/14 00:00:00
Meru;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;834;1;1;2002/05/14 00:00:00
Meru;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;835;1;1;2002/05/14 00:00:00
Meru;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;836;1;1;2002/05/14 00:00:00
Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200 households affected;disinventer;0;0;507;2;0;2003/09/07 00:00:00
Nairobi;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1028;1;1;2002/05/14 00:00:00
Nairobi;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1029;1;1;2002/05/14 00:00:00
