stationCode,stationName,lat,lon,fid
G1966,Na,14.894,120.73,G1966
G1967,Na,15.344,120.465,G1967
G1969,Na,7.154,124.335,G1969
G1970,Na,7.125,124.775,G1970
G4608,Pototan Jalaur Bridge,10.909,122.686,G4608
G4611,Nabua,13.404,123.325,G4611
G4630,Tuguegarao Buntun Bridge,17.614,121.688,G4630
G4945,Talacogon Municipal Hall,8.449,125.785,G4945
G5368,Nia Pumping Station,8.886,125.541,G5368
G5369,Dao Bridge,11.392,122.687,G5369
GD0001,Pasig river,14.575,121.075,GD0001
GD0002,Santa Maria river,14.825,121.025,GD0002
GD0003,Bicol river,13.525,123.175,GD0003
GD0004,Libmanan river,13.775,122.925,GD0004
GD0005,Panay river,11.425,122.775,GD0005
