branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Zimbabwe Red Cross Society Head Office,-17.787687,31.032,,Elias Hwenga,00263242 333158,"10 St Annes, Avondale, Harare Zimbabwe"
Manicaland Office,-18.99997,32.637864,,Munyaradzi Chikukwa,00263772 911531,12 Chimanimani Road Sakubva Mutare
Mashonaland East Office,-18.181113,31.565915,,Thulani Sibanda,00263772 389112,"Mbuya Nehambo, Chikomo Drive, Dombotombo, Marondera"
Mashonaland Central Office,-17.893015,30.988224,,Vongai Masara,00263772 947006,"7433 Jabavu Drive, Old Highfield, Harare"
Masvingo Office,-20.079475,30.814205,,Mable Zinange Chabururuka,00263772 760931,Makuva Street Mucheke Masvingo
Mashonaland West Office,-17.355428,30.204572,,Amon Choba,00263772 912897,5390 MAGAMBA Way Chinhoyi
Midlands Office,-19.461936,29.808442,,Mathias Begede,00263773 217888,"9051 Gymkhana Grounds, Gweru"
Matebeleland South Office,-20.940761,29.010885,,Johnson Sibanda,00263773 048935,"Stand L53 Jahunda Township, Gwanda"
Matebeleland North Office,-20.146843,28.577934,,Thembelihle Valo,00263772 972437,"Basch street and 3rd avenue, Bulawayo"
Chimanimani Office,-19.806282,32.873903,,Munyaradzi Chikukwa,00263773 394513,Stand 179 Village Chimaninani
Chipinge Office,-20.195618,32.619596,,Munyaradzi Chikukwa,00263772 531368,Room 213 Government Complex Chipinge
Nyanga Office,-18.19989464,32.74451684,,Munyaradzi Chikukwa,,Mangondoza Township 
Buhera Office,-19.27075218,31.64707427,,Munyaradzi Chikukwa,00263772911531,Stand 79 Murambinda G/P
Bindura Office,-17.322745,31.334073,,Lucy Mtata,00263772 694607,"743 Artherstone, Chipindura, Bindura, Zimbabwe"
Muzarabani Office,-16.39188,30.993798,,Vongai Masara,00263773 063490,"Stand Number 213, Muzarabani Business Center, Muzarabani"
Neshuro Office,-20.941379,30.637869,,Alfred Chabinduka,00263771 583086,Neshuro Township Mwenezi
Beitbridge Office,-22.203749,29.988647,,Ndabezinhle Ncube,00263776 483104,"Beitbridge District Hospital P O Box 57, Beitbridge"
Plumtree Office,-20.492078,27.802768,,Johnson Sibanda,00263782 116696,"514 Medium Density, Plumtree"
Binga Office,-17.621888,27.360236,,Siphiwe Nyathi,00263778 484885,Kulima Mbobumi Training Centre P. Bag 5716 Binga
Tongogara Office,-20.346739,32.308901,,Tichaona Nduna,00263776 987477,Red Cross kiosk Tongogara Camp
Chitungwiza Office,-18.017218,31.063569,,Memory Batani,00263734 400734,Chitungwiza (Close to Chitungwiza General Hospital)
KAROI RED CROSS CLINIC,-16.809746,29.69223,,Dr Joel Tapi,778074144,KAROI
REDCROSS CLINIC,-17.833395,31.060589,,Dr Joel Tapi,778074144,HARARE
