branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Ambuím,-10.72823955,13.75773464,,Catarina Laurinda,,Kwanza Sul
Bairro Popular,-12.37043769,16.93105501,,Catarina Laurinda,,Bié
Boa Vista,-11.61940265,18.47873714,,Catarina Laurinda,,Bié
Cabinda,-5.567977483,12.19083386,,Catarina Laurinda,,Cabinda
Cahingues,-13.80060141,17.198992,,Catarina Laurinda,,Bié
Calomanga,-12.63106056,13.42143099,,Catarina Laurinda,,Benguela
Camunda,-12.59438936,13.39049809,,Catarina Laurinda,,Benguela
Cangala,-12.56490674,16.55060044,,Catarina Laurinda,,Bié
Cassiva,-12.58760384,13.40065074,,Catarina Laurinda,,Benguela
Chipeta,-12.28079652,17.13216323,,Catarina Laurinda,,Bié
Chitato,-12.79028847,17.07062469,,Catarina Laurinda,,Bié
Cubal,-12.57414105,13.41710975,,Catarina Laurinda,,Benguela
Cuimba,-6.123913372,14.6241331,,Catarina Laurinda,,Zaíre
Jumba Silili,-11.48363406,16.70035209,,Catarina Laurinda,,Bié
kikolo,-8.794785,13.371086,,Simão Caquarta,923863601,"Luanda, Benguela, Bié, Kwanza Sul, Cabinda"
Mbanza Kongo,-6.266797472,14.22716095,,Catarina Laurinda,,Zaíre
Mumbue,-13.89210229,17.29649727,,Catarina Laurinda,,Bié
Noki,-5.873318658,13.43101338,,Catarina Laurinda,,Zaíre
Soyo,-6.146435482,12.3819011,,Catarina Laurinda,,Zaíre
Tchimbassi,-12.58947121,13.38745227,,Catarina Laurinda,,Benguela
