branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
  Hasasa  Pharmacy,7.105991706,39.20195442,,Lula Mohamed,911853144,"Hasasa, West Arsi"
 Adaba Pharmacy,7.00341304,39.39147671,,Lula Mohamed,911853144,"Adaba, West Arsi"
 Ambo  Pharmacy,8.958258979,37.93223524,,Lula Mohamed,911853144,"Ambo, West Shewa"
 Arsi negele pharmacy,7.359782908,38.67101504,,Lula Mohamed,911853144,"Arsi negele, West Arsi"
 Bedela  Pharmacy,8.456225549,36.35536797,,Lula Mohamed,911853144,"Bedele,  Buno Zone"
 Dodola Pharmacy,6.977242251,39.18291061,,Lula Mohamed,911853144,"Dodola, West Arsi"
 Shambu Pharmacy,9.56766231,37.10581942,,Lula Mohamed,911853144,"Shambu, Horo Guduru Wallaga"
 Shashemane kutur 1 pharmacy,7.202969608,38.60946491,,Lula Mohamed,911853144,"Shashemane, West Arsi"
 Shashemane kutur 2 pharmacy,7.202969608,38.60946491,,Lula Mohamed,911853144,"Shashemane, West Arsi"
"Aballala ambulance station, SNNP",7.698553601,35.34910882,,Tesfaye Dunda,911458831,Wolaita
Abomsa Ambulance Station,8.48734009,39.82938827,,Lula Mohamed,911853189,Abomsa
Adaba   Ambulance Station,7.004350132,39.39199169,,Lula Mohamed,911853184,Adaba
Adama  Pharmacy,8.527485053,39.25928142,,Lula Mohamed,911853144,"Adama, East Shewa"
Adami Tulu Jido Kombolcha Ambulance Station,8.5933261,40.6075475,,Lula Mohamed,911853214,Adami Tulu Jido Kombolcha
Adea Ambulance Station,11.658465,38.384924,,Lula Mohamed,911853215,Adea
Agaro Ambulance Station,7.856578928,36.5829273,,Lula Mohamed,911853196,Agaro
Agaro Pharmacy,7.675009343,36.83728531,,Lula Mohamed,911853144,"Agaro, Jimma"
Ale Woreda Ambulance Station,8.151552598,35.53580692,,Lula Mohamed,911853154,Ale Woreda
"Aletawondu Station, Sidama",6.6057831,38.408764,,Tamirat Alemu,904767956,Sidama
Alge Sachi Woreda Ambulance Station,8.591427845,35.73396339,,Lula Mohamed,911853151,Alge Sachi Woreda
Ambomsa Pharmacy,8.490418589,39.83267017,,Lula Mohamed,911853144,"Abomsa, Arsi"
"Arba Minch branch, SNNP",6.031349374,37.55328547,,Tesfaye Dunda,911458831,Gamo
Arsi Negelle Ambulance Station,7.360123402,38.66844012,,Lula Mohamed,911853185,Arsi Negelle
Arsi Robe pharmacy,9.6082647,39.13552632,,Lula Mohamed,911853144,"Arsi Robe, Arsi"
Asela Pharmacy,7.957128651,39.13078853,,Lula Mohamed,911853144,"Asela , Arsi"
Asella Ambulance Station,7.956278607,39.13147518,,Lula Mohamed,911853187,Asella
"Awash 7 Station, Afar",9.0017805,40.1120232,,Fikadu Mulugeta,,Afar
Axum Pharmacy,14.1326684,38.72091535,,Weldegebriel,914199979,Axum
B CHOKORSA Ambulance Station,9.3086918,35.5737684,,Lula Mohamed,911853224,B CHOKORSA
Babile Ambulance Station,9.221901588,42.32958153,,Lula Mohamed,911853206,Babile
Babile Pharmacy,9.222155752,42.32966736,,Lula Mohamed,911853144,"Babile, East Harerge"
"Basketo Station, SNNP",6.232641121,36.57976962,,Tesfaye Dunda,911458831,Basketo
Batu  Pharmacy,7.931224093,38.71586283,,Lula Mohamed,911853144,"Batu, East Shewa"
Bedele Ambulance Station,8.451053293,36.34054176,,Lula Mohamed,911853158,Bedele
BEGI  Ambulance Station,9.345414,34.5537832,,Lula Mohamed,911853227,BEGI
