branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Afgoye SRCS Health Center,2.09172224,45.07214644,,Said Moalim Mohamud,,Lower Shabelle
Bacadweyne HC,7.19247,47.52185,,Saed Abdi,252907797179,Mudug Region
Balad clinic,2.36022,45.389136,,Said Moalim Mohamud,,Middle Shabelle
Balibusle HC,7.09403,48.15933,,Saed Abdi,252907797179,Mudug Region
Bilan HC,5.3005,45.8753,,Said Moalim Mohamud,,Galgadud
Bulo kulow,2.33954,42.28855,,Said Moalim Mohamud,,Gedo
Buurfule HC,2.9308,45.5277,,Said Moalim Mohamud,,Middle Shabelle
Central Health Center (Bulaburte),3.85357,45.56596,,Said Moalim Mohamud,,Hiran
Dangoroyo,8.724384,49.341937,,Saed Abdi,252907797179,Nugal region
Dayah Health Center,2.503892,45.244351,,Said Moalim Mohamud,,Benadir
Farjano HC,-0.35258,42.551,,Said Moalim Mohamud,,Lower Jubba
Galbed Health Center,3.4819661,43.1439994,,Said Moalim Mohamud,,Bakool
Galbeed HC,6.1385,46.6272,,Said Moalim Mohamud,,Galgadud
Galinsor HC,6.9296,46.705,,Said Moalim Mohamud,,Galgadud
Halgan Health Center,2.34924,45.182253,,Said Moalim Mohamud,,Benadir
Haloboqad,6.85091,47.413044,,Saed Abdi,907797179,Mudug Region
Harfo,7.354164,47.618428,,Saed Abdi,252907797179,Mudug Region
Hasbahale,7.95971,49.157405,,Saed Abdi,252907797179,Nugal
Hodan HC,5.5331,46.3811,,Said Moalim Mohamud,,Galgadud
Isbartbo Health Center (Bundaweyn),4.73671,45.2062,,Said Moalim Mohamud,,Hiran
Iskushuban Health center,10.281795,50.230005,,Saed AbdI Mahad,252907797179,Bari region
Jalam health center,7.865819,48.038145,,Saed Abdi,252907797179,Nugal region
Kalabayr,7.983159,48.104744,,Saed Abdi,252907797179,Garowe
Madawa HC,-1016032.0,42.033669,,Said Moalim Mohamud,,Lower Jubba
Mandheere HC,2.6927,45.5028,,Said Moalim Mohamud,,Middle Shabelle
Marka Health Center,1.42420192,44.4531824,,Said Moalim Mohamud,,Lower Shabelle
Qansax oomane,3.932689,41.878434,,Said Moalim Mohamud,,Gedo
Qarhis health center,8.485493,49.568384,,Saed Abdi,252907797179,Nugal region
Raga Elle clinic,2.658394,46.010733,,Said Moalim Mohamud,,Middle Shabelle
Rako,9.782145,49.728725,,Saed AbdI Mahad,252907797179,Puntland
SHafici Health Center,7.03727,47.02863,,Saed Abdi,252907797179,Mudug Region
Sheikh Aways,4.75882,43.5324548,,Said Moalim Mohamud,,Bakool
Sinujif Health center,8.532902,48.98478,,Saed AbdI Mahad,252907797179,Nugal region
SRCS Berdale Clinic,3.213164,43.197566,,Said Moalim Mohamud,,Bay
SRCS H/wadag Clinic,3.120453,43.644818,,Said Moalim Mohamud,,Bay
waaberi HC,0.413653,41.003267,,Said Moalim Mohamud,,Lower Jubba
Wadajir Health Center (Jalalaqsi),3.380311,45.599639,,Said Moalim Mohamud,,Hiran
Wadjir,6.76581,47.43508,,Saed Abdi,252907797179,Mudug Region
