fid,name,lat,lon,type,report_date
259,Gezamana,14.389,37.724,,
679,Gobo Gemhalo,14.525,37.778,,
1836,Elagofer,14.292,37.901,,
2516,Ela-Hayle,14.354,37.768,,
2523,Maekeladi,14.192,37.769,,
2782,Adiwolo,14.337,37.616,,
4060,Meragf agmal,14.401,37.675,,
4391,Thti grat Abrhet Bezabh,14.637,37.909,,
4469,Lese Daboy Tsegay,14.435,37.653,,
4496,Maekeladi,14.367,37.811,,
4551,Wihdet,14.407,37.489,,
4590,Ruba Mltsay,14.467,37.690,,
4687,Endachea,14.373,37.920,,
4731,Grat Meles G/Meskel,14.451,37.736,,
4744,Lese-weldechiel kasa,14.282,37.873,,
4840,Elakola Serae,14.420,37.595,,
4870,Hadush Adi,14.353,37.734,,
4895,Enda Gerekiel Hayle Zewrede,14.647,37.920,,
4918,Tiqabettmhrti,14.256,37.621,,
5019,Mender,14.392,37.875,,
5182,Segenkefelo,14.367,37.683,,
5190,Grat Tesfay Brhane,14.358,37.607,,
5234,Thti Grat Hans Asfaw,14.458,37.778,,
5252,Shigintabia,14.309,37.910,,
5256,Gobo Endaboy Araya,14.278,37.780,,
5290,Kebabi grat G/ziher Hayle,14.345,37.710,,
5348,Mesno Nebay,14.369,37.546,,
5358,Walwadma,14.409,37.882,,
5386,Mhmas abagie,14.494,37.879,,
5460,Bozay,14.212,37.569,,
5516,Miflah Bun,14.267,37.706,,
5557,Enda-Hatsinay,14.453,37.876,,
5701,Thti Kampi /Daboy Gdey/,14.374,37.558,,
5718,Bambukey/Medagul,14.406,37.675,,
5866,Enda-Mshko,14.206,37.572,,
6080,endamariam betkirstian,14.307,37.891,,
6112,Belowbridge,14.285,37.709,,
6122,Ela Tesfay Gebrekidan,14.322,37.882,,
6137,Lielidildl,14.288,37.709,,
6356,Hawelty 2,14.252,37.817,,
6558,Ela Aslam,14.369,37.906,,
7087,Ela adi,14.439,37.606,,
7161,Adi Esra,14.209,37.780,,
7251,Ela-wedikeyh,14.397,37.472,,
7301,Mai hagay 2,14.246,37.868,,
7686,Mesagr Endahalencheal,14.467,37.757,,
7884,Ela Enda Zemchial,14.454,37.606,,
7928,Adikilte,14.469,37.869,,
7935,Endahanta tsige,14.383,37.900,,
8651,Miltsay school,14.450,37.662,,
8679,Endaakuma,14.159,37.737,,
8683,Tekorba,14.229,37.736,,
8691,Mesagrenda weldeab,14.401,37.675,,
8695,Ela derho,14.392,37.504,,
8696,Mekarm,14.243,37.696,,
8833,Endaboy Meles,14.275,37.766,,
9062,Gualgemhalo,14.556,37.778,,
9615,Endamariam,14.695,37.838,,
9618,Mai tsadkan,14.343,37.888,,
9619,Naeder,14.322,37.821,,
9621,Mihmas Jeger,14.324,37.867,,
9623,Elahamushte 1,14.595,37.890,,
9667,Dngur,14.405,37.881,,
9671,Adiwelo,14.334,37.607,,
9676,Mekarm,14.354,37.851,,
9693,Mezerbie,14.488,37.762,,
9800,Mai hatsinai,14.138,37.720,,
9826,Enda Estifanos,14.443,37.639,,
9910,Endakanteb,14.488,37.734,,
9997,Eladebesay,14.335,37.632,,
10020,Dacheare,14.357,37.704,,
10032,Mshig,14.414,37.485,,
10046,Enda Chaa,14.349,37.638,,
10111,Adihanso,14.291,37.959,,
10431,Adiharfi,14.273,37.644,,
10474,Guji,14.279,37.614,,
10562,Lese,14.287,37.646,,
10960,Maynebri,14.244,37.652,,
11337,Wishtegulti (2),14.282,37.806,,
11338,Elagedam (1),14.313,37.850,,
11339,Kuhulograt,14.225,37.573,,
11341,Tiqabettmhrti,14.230,37.595,,
11342,Lieli Didl Endafkre,14.244,37.613,,
