name,type,lat,lon
Unknown,clinic,9.79334999622566,123.988769982857
Pinamungajan Rural Health Office,clinic,10.2704225276955,123.58445245475201
Ajera Dental Clinic,clinic,11.5939616677102,122.750561466996
M.K.Bumagat Dental Clinic,clinic,14.7440980554281,121.077580448401
Dato Medical Clinic,clinic,13.4519526631975,123.37006549979799
Escuadro Clinic,clinic,14.3830697882724,120.87873823579599
TB Dots Center,clinic,9.290799245136382,123.263988659462
Vian Family Hospital II,hospital,14.682846962711599,121.021061945854
Barangay Health Station,clinic,9.486094655413151,125.47650264323299
Culliat Health Center,clinic,13.1589260221172,123.70337858501499
Mangga-Cacutud Health Center,clinic,15.1483770267782,120.762383841065
Dr. Montano G. Ramos General Hospital,hospital,14.6595214672842,121.023561764657
Roxas Memorial Provincial Hospital,hospital,11.5880569522006,122.752682256136
Bontuyan Medical Clinic & Hospital,hospital,6.22059612266142,125.06419204844299
M.S. Baesa Medical Clinic,clinic,14.9126765684345,120.56555437486901
AL Santos Medical Clinic,clinic,14.3297722834772,120.95753826773
UP Diliman Health Center,clinic,14.647690662411803,121.065274473438
Health Port,clinic,14.5588817998985,121.003149064401
Bucana Health Center,clinic,7.0631525733759295,125.603071728086
Jesus Nazarene Hospital,hospital,16.0146293692214,120.23236953277001
RHU,hospital,9.02199337056146,117.650979222083
Perlas Polyclinic,hospital,14.6752750866607,120.98359039626001
Dentist Clinic,clinic,15.920050236925302,120.412395378579
Bagong Katipunan Health Center,clinic,14.5586918659726,121.075197054233
Alif Medical and Diagnostic Clinic,clinic,14.576350524302402,120.98846405386001
Mallillin Clinic,clinic,16.9380658211422,121.774006380093
san carlos eye center,hospital,15.9290441866685,120.34715894236
Unknown,clinic,14.4887050699495,121.060011560254
M3 Dialysis Center Nord Hub,clinic,10.6767559873324,122.960795524203
NPC Dialysis Center,clinic,14.5626131717342,121.076677382153
health Clinic,clinic,14.6185129221887,121.06045446001801
Vallarta Dental Care,hospital,14.8570924804535,120.812724629515
Ata-Atahon Barangay Health Station,clinic,8.9818899871897,125.376201856192
Barangay 7 Health Center,clinic,9.98685469670843,122.812756948743
Unknown,clinic,11.1758409890975,123.054774596051
Old Balara Clinic Center,clinic,14.6630201574878,121.07467972317
Cebu City Medical Center,hospital,10.2979068720204,123.892832898428
Unknown,clinic,9.782268952592199,124.037620971838
Unihealth-Baypointe Hospital and Medical Center,hospital,14.8239664447405,120.272321455152
Kalinong Diagnostic Center,clinic,11.117863448665302,122.53835447741899
Red Cross,clinic,7.22141472377535,124.243774550942
Madalag Hospital,hospital,11.523564828984,122.30436635807399
Imus Social Hygiene Clinic,clinic,14.4379976570539,120.92774336797599
Dr. Atacador Health Clinic,clinic,9.080591926199759,126.196085091184
The Medical City,hospital,14.5897478230588,121.069410523559
Dental Clinic,hospital,14.636419098119301,121.07275372945801
San Sebastian Health Center,clinic,14.5991050444856,120.988985324418
Unknown,clinic,14.526990921437099,121.074602944936
Camaysa Barangay Health Station,clinic,14.041578228671598,121.57743113702101
Dr Alcantara Memorial Hospital,hospital,9.764086341494991,123.53371889031901
R.E. Mallari Clinical Diagnostic Laboratory,clinic,14.6563724700809,120.98412532932
Malabon Doctors Hospital,hospital,14.6597699907133,120.959517989441
F M Cruz Ortopedic,hospital,14.906520982562899,120.869597183652
Dr. Tomas S. Co Medical Clinic,clinic,15.147133068528198,120.768884845166
PLARIDEL RHU,clinic,8.62133856650553,123.710375546328
Koronadal Diagnostic Center,clinic,6.491900726391441,124.838431772892
Tayug Health Center,clinic,16.0270515173626,120.74403568738
Fhei,clinic,14.2600700530669,120.877122372502
St.Anthony Hospital,hospital,11.5780463614215,122.756572632675
Ann Francis Maternity Hospital,hospital,14.6943710737467,121.03125702232201
Manibog Clinica,clinic,14.582758321640501,121.084057480259
Unknown,clinic,7.102850356453099,125.632499835757
Marilog District Hospital,hospital,7.328715070517889,125.29585452493299
"Central Lab Diabetes Wellness, Heart & Kidneys Bldg",clinic,7.07456612710828,125.609250028915
Bernas OB-Gyne Clinic,clinic,11.578369232331701,122.756329725121
Bluestar,clinic,11.780575521775,124.88664925763001
The Dermatology Suite,clinic,14.5535864487496,121.04417496003599
Birthing Clinic,clinic,16.8517648240584,121.09959509799101
Clinica de Beleza,clinic,14.4545228306176,120.99389259345
Bagumbayan Barangay Health Center,clinic,14.2690872206819,121.39764006831999
Parish Health Center,clinic,14.016584147779401,121.401976278289
Una Konsulta,clinic,10.668987890928301,122.943830133085
Hospital Ground,hospital,14.4888899747335,121.057821620412
Cailing Medical Clinic,clinic,14.0265413458354,121.59411338745001
Naic Doctors Hospital,hospital,14.314569355139101,120.77096514971501
Tabaco College Hospital,hospital,13.356572472415099,123.72627517845699
Luminous Maternity Clinic,clinic,14.102950523708,120.932020569347
Dayhagon Health Center,clinic,11.4026899900519,122.66366996483299
Aventus Medical Care,clinic,14.2063230268044,121.15498103778098
Tubungan Community Health Center,clinic,10.7676745748745,122.318852298415
Bernardino receiving,clinic,14.6996697776569,121.04063687488701
San Martin Barangay Health Station,clinic,8.00020023022225,125.19640232177
San Lorenzo Ruiz Womens Hospital,hospital,14.6942753524125,120.956519782675
Eversley Childs Sanitarium and General Hospital,hospital,10.3668920306143,123.95395616712099
Buhangin Main Health Center,clinic,7.113486488666131,125.61338859360701
Fernando Air Base Hospital,hospital,13.9469209770379,121.127099391245
Mezzanine Dra. Dedace,clinic,15.487135666849301,120.96243707103999
Dalawampu Pharmacy,hospital,13.791422675390901,121.010084167268
Sto. Rosario Hospital,hospital,6.58885017708593,125.40315654805599
Centralle Medical,clinic,14.757270216265301,121.043854268421
St. Benedict Hospital of Davao del Sur,hospital,6.75502492790019,125.28170905749901
Subic District Hospital,hospital,14.889961191739099,120.237466232814
