branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Kenya Red Cross Society Head Office,-1.32371091,36.83351956,,,(254)(20) 395 0000,"Red Cross, Nairobi, Kenya"
Nairobi Branch Office,-1.287107342,36.81813296,,,717898330,Nyayo House 18Th Flr
Nairobi Satelite office,-1.287338,36.830486,,,710306892,"Racecourse Rd, Nairobi"
Parklands Satelite office,-1.260646,36.827336,,,719258515,City Park Hockey Stadium
Karen Lang'Ata Satelite office,-1.321969,36.706952,,,725851918,"Dagoretti Rd, Nairobi"
Mandera Branch Office,3.936999,41.855543,,,720059344,Along Suftu Road Behind County Commissioner'S Resident Adjacent To Mandera County Referral Hospital. 
Lamu Branch Office,-2.194408575,40.81718809,,,700482906,Lamu Rehabilitation Center
Mpeketoni Satelite office,-2.390678,40.696449,,,759535954,"Mpeketoni, Opposite Law Courts "
Garissa Branch Office,-0.440582127,39.6562823,,,720891593,Location Next To Minsitry Of Works.
Ijara Satelite office,-1.546658,40.43391,,,724830185,Masarani
Wajir Branch Office,1.748958,40.055809,,,724474194,Next To Wajir Stadium
Hola Branch Office,-1.497575,40.029545,,,722303634,In Hola Near  Catholic Mission
Kilifi Branch Office,-3.198295326,40.11443339,,,721681730, Next To St. Thomas Primary School
Kilifi Satelite office,-3.629753,39.862239,,,717017184, Next To St. Thomas Primary School
Mombasa Branch Office,-4.052733,39.664716,,,721664435,"Off Moi Avenue Along Aghakhan Road,Opposite Uon Mombasa Campus Next To Lions Eye Center At Koblenz Hall."
Kwale Branch Office,-4.293933,39.56342,,,726125953,Along Likoni Lunga Lunga Road Next To Biashara Centre
Samburu Branch Office,-3.779323,39.2789,,,716435148,Maralal
Voi-Taita Taveta Branch Office,-3.396689,38.557334,,,728730717,"Along Kcb Bank, Off Moi Referal Hospital Road, Vawug Building"
Kitui Branch Office,-1.374231,37.995647,,,728386346,Kitui- Kwa Ngindu Road (Next To The County Commissioners Residence)
Mwingi satelite Office,-0.919583,38.06237,,,728386346,Mwingi At Education Office
Ikutha Satelite Office,-1.36333582,38.0163728,,,728386346,Ikutha -Kitui  South
Marsabit Branch Office,2.333284,37.984071,,,727566057,Located In The Compound Of St. Stephen Training Center Same Compound With Fh. About 300 M East Of Marsabit Market
Meru Branch Office,0.052829,37.645941,,,734350144,"North Imenti Cdf Building -Off Mwendantu Road,  100 Meters From Tuskys Meru."
Isiolo Branch Office,0.309993,37.576513,,,720920743,Off The Isiolo-Meru Road Opposite Oil Libya Petrol Station 2Kms From Isiolo Town
Embu Branch Office,-0.538107,37.458865,,,725117268,Embu Town Off Mama Ngina Street Along Kws Road..500Metres From Kws Offices Next To Embu Urban Primary And Secondary School
Kirinyaga Branch Office,-0.150507,37.316127,,,727820120,Kerugoya Municiple Council Office Grounds
Machakos Branch Office,-1.516955,37.261527,,,722722151,Red Cross Complex Building. (Next To A.C.K All- Soul’S Cathedral)
Muranga Branch Office,-0.718776,37.163326,,,716179761,"Next To Juvenile Home, Murang'A Town"
Maragua Satelite Office,-0.793951,37.131214,,,716179761,Murang'A
Laikipia Branch Office,0.015613,37.068775,,,721672593,"Majengo, Stadium Road Opposite Deb Primary"
Nyeri Branch Office,-0.415631,36.949554,,,722774693,Next To Boma Inn. Opposite Ruringu Stadium
Kiambu Branch Office,-1.173721,36.841486,,,722543487,Kiambu
Thika Satelite office,-1.037032,37.084007,,,795718063,"Thika, Kiambu"
Limuru Satelite office,-1.194872,36.727601,,,712168119,Limuru
Kajiado Branch Office,-1.849995,36.787572,,,718166905,Nairobi- Namanga Road (Opposite Maasai Technical Institute)
Kajiado South Satelite office,-1.852476317,36.77917449,,,728121845,Kajiado South Unit
Kajiado East  Satelite office,-1.852476317,36.77917449,,,740813782,Kajiado East Unit
Elgeyo Marakwet Branch Office,-1.291049,36.77885,,,720903030,Iten Vocatopnal Training College
Nakuru Branch Office,-0.294318,36.064366,,,727540883,Ronald Ngala Road Next To Mama Ngina Primary School.
Naivasha Satelite office,-0.712314,36.433812,,,727303465,"Naivasha, Nakuru"
Molo Satelite office,-0.239073342,35.72083932,,,728855876,Molo
Turkana Branch Office,3.672238,36.378179,,,720248626,Located Along Lodwar Lorugum Road In Nakwamekwi Area
Nyandarua Branch Office,-0.271996,36.377492,,,721297550,Olkalou Town Housed By Cdf Olkalou Constituency
Baringo Branch Office,0.492011115,35.7454058,,,700387323,Along Nakuru- Loruk Road Adjacent To Ministry Of Health Lab Next To Marigat Pri.And Aic Fellowship Church
