branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Ain Helwan - medical services center,31.321304,29.859947,,Mahmoud Tharwat,201012995640,"Helwan, Cairo"
AL Behira ERC Blood Bank,30.388218,31.43937,,Mahmoud Tharwat,201012995640,AL Behira  ERC Blood Bank
Al Galaa ERC Blood Bank,31.244537,30.060186,,Mahmoud Tharwat,201012995640,Cairo
Al Mokatam Medical center,31.331605,30.012563,,Mahmoud Tharwat,201012995640,"AL Mokatam, Cairo"
Al Nahda social and medical services center,31.433144,30.17195,,Mahmoud Tharwat,201012995640,"Alnahda , Cairo"
Alexandria,29.966329,31.233694,,Mahmoud Tharwat,,Alexandria
Alexandria ERC Blood Bank,29.961574,31.240321,,Mahmoud Tharwat,201012995640,"Alexandria, Bakous, ERC Blood Bank"
Beheira,29.941802,31.216786,,Mahmoud Tharwat,,Beheira
ERC Qena Hospital,32.722404,26.158161,,Mahmoud Tharwat,,Qena
Gharbia,30.993308,30.788522,,Mahmoud Tharwat,,Gharbia
Helwan Medical center,31.321361,29.859884,,Mahmoud Tharwat,201012995640,"Helwan , Cairo"
Kafr ELsheikh  ERC Blood Bank,30.942235,31.10879,,Mahmoud Tharwat,201012995640,KAfr ELsheikh ERC Blood Bank
Mansoura,31.396008,31.052654,,Mahmoud Tharwat,,Mansoura
North Sinai medical center,33.807502,31.135721,,Mahmoud Tharwat,201012995640,Al Arish - North Sinai
Qena ERC Blood Bank,32.71774,26.160954,,Mahmoud Tharwat,201012995640,Qena  ERC Blood Bank
Sohag,31.695573,26.560013,,Mahmoud Tharwat,,Sohag
Zeinhom social and medical services center,31.246181,30.021926,,Mahmoud Tharwat,201012995640,"Zeinhom , Cairo"
