COUNTY,CNSTTNC,WARDS,ADM1_PCODE,ADM2_PCODE,ADM3_PCODE
Mombasa,Changamwe,Port Reitz,KE001,KE001001,KE0010010001
Mombasa,Changamwe,Kipevu,KE001,KE001001,KE0010010002
Mombasa,Changamwe,Airport,KE001,KE001001,KE0010010003
Mombasa,Changamwe,Changamwe,KE001,KE001001,KE0010010004
Mombasa,Changamwe,Chaani,KE001,KE001001,KE0010010005
Mombasa,Jomvu,Jomvu Kuu,KE001,KE001002,KE0010020006
Mombasa,Jomvu,Miritini,KE001,KE001002,KE0010020007
Mombasa,Jomvu,Mikindani,KE001,KE001002,KE0010020008
Mombasa,Kisauni,Mjambere,KE001,KE001003,KE0010030009
Mombasa,Kisauni,Junda,KE001,KE001003,KE0010030010
Mombasa,Kisauni,Bamburi,KE001,KE001003,KE0010030011
Mombasa,Kisauni,Mwakirunge,KE001,KE001003,KE0010030012
Mombasa,Kisauni,Mtopanga,KE001,KE001003,KE0010030013
Mombasa,Kisauni,Magogoni,KE001,KE001003,KE0010030014
Mombasa,Kisauni,Shanzu,KE001,KE001003,KE0010030015
Mombasa,Nyali,Frere Town,KE001,KE001004,KE0010040016
Mombasa,Nyali,Ziwa La Ng'ombe,KE001,KE001004,KE0010040017
Mombasa,Nyali,Mkomani,KE001,KE001004,KE0010040018
Mombasa,Nyali,Kongowea,KE001,KE001004,KE0010040019
Mombasa,Nyali,Kadzandani,KE001,KE001004,KE0010040020
Mombasa,Likoni,Mtongwe,KE001,KE001005,KE0010050021
Mombasa,Likoni,Shika Adabu,KE001,KE001005,KE0010050022
Mombasa,Likoni,Bofu,KE001,KE001005,KE0010050023
Mombasa,Likoni,Likoni,KE001,KE001005,KE0010050024
Mombasa,Likoni,Tibwani,KE001,KE001005,KE0010050025
Mombasa,Mvita,Mji Wa Kale/Makadara,KE001,KE001006,KE0010060026
Mombasa,Mvita,Tudor,KE001,KE001006,KE0010060027
Mombasa,Mvita,Tononoka,KE001,KE001006,KE0010060028
Mombasa,Mvita,Shimanzi/Ganjoni,KE001,KE001006,KE0010060029
