ID,Country,station,location,lon,lat,Q50,Q80,Q90
G5170,Kenya,G5170,Na,36.05,3.15,2914.3773193359375,3116.855859375,3183.961840820313
G5171,Kenya,G5171,Na,36.15,2.95,1464.8259887695312,1600.2444335937503,1770.8580688476566
G5173,Kenya,G5173,Na,37.45,2.85,246.16812133789062,407.01858520507824,761.7546936035159
G5197,Kenya,G5197,Na,38.75,1.45,159.29112243652344,198.57912902832035,297.4768096923831
G5198,Kenya,G5198,Na,38.85,1.45,20.50281047821045,81.87337951660157,104.3497856140137
G5208,Kenya,G5208,Na,39.25,1.15,145.1674041748047,208.7264831542969,258.1521759033204
G5210,Kenya,G5210,Na,39.25,1.05,992.4692687988281,1310.9227539062504,1702.7087158203128
G5299,Kenya,G5299,Na,37.75,-0.75,476.68780517578125,758.9392456054687,768.0729980468751
G5305,Kenya,G5305,Na,39.95,-1.55,43.85158920288086,166.1078765869141,223.7360748291017
G5326,Kenya,G5326,Na,40.15,-1.95,883.2463073730469,1624.9739501953127,1795.9841308593752
G5332,Kenya,G5332,Na,40.05,-2.05,23.78586769104004,92.35097045898438,167.1430404663086
F0031,Kenya,F0031,R.Sio,34.04999924,0.150000006,1578.627685546875,2034.6978515625,2222.8811523437503
KE_GVS1,Kenya,KE_GVS1,,40.46,2.93,108.9890251159668,297.71925048828126,328.0899353027344
KE_GVS2,Kenya,KE_GVS2,,38.87,2.58,33.510854721069336,164.8158782958985,253.6024169921875
KE_GVS3,Kenya,KE_GVS3,,37.46,1.65,170.6460418701172,213.07295532226564,223.71984863281259
KE_GVS4,Kenya,KE_GVS4,,36.25,1.54,116.08004760742188,213.0653259277345,417.54025573730473
KE_GVS5,Kenya,KE_GVS5,,35.44,1.81,2943.506591796875,3037.9806640625,3087.41328125
KE_GVS6,Kenya,KE_GVS6,,35.75,1.64,1593.947998046875,1741.83955078125,1796.8667602539065
KE_GVS7,Kenya,KE_GVS7,,35.35,2.64,2857.0087890625,3112.1227050781254,3247.196557617188
KE_GVS8,Kenya,KE_GVS8,,34.85,4.95,70.67759895324707,115.09726715087892,218.73955993652345
KE_GVS9,Kenya,KE_GVS9,,38.77,-2.36,71.08572006225586,167.84720764160159,217.98156433105473
KE_GVS10,Kenya,KE_GVS10,,39.16,-3.46,23.33068084716797,42.076184844970705,53.50452423095706
KE_GVS11,Kenya,KE_GVS11,,39.27,-3.05,804.05322265625,1072.519775390625,1163.738049316407
KE_GVS12,Kenya,KE_GVS12,,39.15,-0.15,1029.3270263671875,1906.4055664062498,1926.7118896484376
KE_GVS13,Kenya,KE_GVS13,,41.16,-1.65,4.9487409591674805,21.16970138549806,31.740520477294922
KE_GVS14,Kenya,KE_GVS14,,40.26,0.16,740.8071899414062,1279.0502441406252,1606.1720336914066
KE_GVS15,Kenya,KE_GVS15,,40.65,1.25,75.7450065612793,281.08927612304706,456.7609619140625
KE_GVS16,Kenya,KE_GVS16,,41.75,3.94,1079.89306640625,1374.3611572265627,1597.9958984375003
KE_GVS17,Kenya,KE_GVS17,,35.15,-1.16,444.3101348876953,551.765673828125,669.4400573730469
KE_GVS18,Kenya,KE_GVS18,,34.45,-1.05,91.3908805847168,130.4781219482422,189.71031341552745
KE_GVS19,Kenya,KE_GVS19,,35.14,-0.46,756.3081970214844,839.6223876953126,930.7993530273438
KE_GVS20,Kenya,KE_GVS20,,34.76,0.55,1642.6983032226562,2031.75009765625,2152.4972412109373
KE_GVS21,Kenya,KE_GVS21,,38.03,0.74,1172.3724975585938,1451.1478515625001,2007.9419433593755
KE_GVS22,Kenya,KE_GVS22,,37.55,-2.35,52.02597999572754,79.5135467529297,92.96367492675783
KE_GVS23,Kenya,KE_GVS23,,38.05,-2.24,119.5911750793457,190.31238098144533,274.402328491211
