branchName,BranchLevel,Town,Zone,Region,lat,lon,contactNumber,contactPerson,contactAddress,YearOfestablishment,numberOfBDRT,numberOfVolunteers,HumanResource,Targetpoulation
ERCS HQ,Head Quarter ,Addis Ababa,Addis Ababa,Federal city,9.015023,38.756177,962-05-96-55,Getachew Ta'a,getachew.ta'a@redcrosseth.org,1935,,47000,,
Addis Ababa,Regional Branch ,Addis Ababa,Addis Ababa,Oromia,9.039416,38.753197,911-07-34-59,Esrael gesese,esrael.gesese@redcrosseth,1973,,,,3041002
Oromia,Regional Branch ,Addis Ababa,Addis Ababa,Oromia,9.011663,38.747045,911-84-22-46,Mohammed Jemal,mohammed.jemal@redcrosseth.org ,1993,53,127905,702,31738956
Arsi Branch,Zonal Branch,Assela,Arsi,Oromia,7.96405,39.133757,911-53-61-05,Wagi Degafa,wagi.degafa@redcrosseth.org, 1973,6,11394,58,3572336
Borena Branch,Zonal Branch,Yabelo,Borana,Oromia,4.893069,38.092013,913-41-53-49,Aisha Muhamad,Aisha.muhamad@dcrosseth.org, 2006,1,1186,8,534257
Illubabor Branch,Zonal Branch,Mattu,Illubabor,Oromia,8.295953,35.583974,977-36-48-92,Feyisa Abdu,feyisa.abdu@redcrosseth.org, 1973,0,7676,30,987191
Jimma Branch,Zonal Branch,Jimma,Jimma,Oromia,7.672136,36.846886,917-82-10-64,Aisha Rago,aisha.rago@redcrosseth.org, 1973,14,7576,67,3500000
S/W/ Shoa Branch,Zonal Branch,Woliso,Southwest showa,Oromia,8.542781,37.973512,911-95-44-29,Alemayehu Mamo,alemayehu.mamo@redcrosseth.org, 1983,2,14467,44,1101129
West Shoa Branch,Zonal Branch,Ambo,West Shoa Branch,Oromia,8.982603,37.870036,911-89-41-40,Workneh Mekonnen,workneh.mekonnen@redcrosseth.org, 1995,3,17095,34,2058676
East  Shoa Branch,Zonal Branch,Adama,East  Shoa ,Oromia,8.543512,39.27937,916-04-78-20,Buseri Bunda,buseri.bunda@redcrosseth.org, 1973,3,8393,69,2192459
