branch_name,lat,lon,number_of_volunteers,contact_person,contact_number,contact_address
ITEZHI TEZI,-15.736433,26.023031,36,Mr. Mukunda Moote,,Itezhi Tezhi Hospital
KAPIRI MPOSHI,-13.978238,28.680802,202,Mr. Frackson Ngosa,,Plot 1565 Church Road
CHAMBESHI,-12.636107,28.064127,49,Mr. Robinson Mubita,,Next to Zambeef Chambeshi
CHILILABOMBWE,-12.360827,27.824196,72,Mr. Wellingtone Mwape,,Konkola Stadium
CHINGOLA,-12.547511,27.861613,119,Mrs. Mirriam Lungu,,Nakatinda Girls Secondary School
KALULUSHI,-12.842223,28.089179,210,Mr. Rodrick Chimpala,,Kalulushi High School
KITWE,-12.811484,28.199584,150,Mr. Matine Sinyangwe�,,Opposite Police post VML Riverside
LUANSHYA�,-13.104709,28.337291,200,Mr. Elijah Mwaba,,Mpatamuto Police Office Block
MASAITI,-13.260612,28.405345,110,Mr. Mwape Bwalya,,
MPONGWE,-13.511474,28.156639,117,Mr. Binwell Mumba,,District Agriculture Office
MUFULIRA,-12.55714,28.235541,152,Mr. Simone R. Mubanga,,Kantanshi Area
NDOLA,-12.964312,28.644874,236,Mr. Henry Chinenga,,4th Dr. Damie Street
CHIPATA,-13.637489,32.639426,131,Mr. Peter Malasa,,Plot No:62 off Obote Road�
KATETE,-14.055947,32.045202,7,Mr. Ernest Mwansa,,Katete Boma
LUNDAZI,-12.290191,33.177413,35,Mr. Norasco Kangwa,,Zyanganikaching Youth Resource
PETAUKE�,-14.253733,31.325755,150,Mr. Stanley Yumba,,Petauke Red Cross Office
CHIENGE�,-8.657919,29.16089,61,Mr. Stanley Siamwezi (Acting President),,Chienge Red Cross Office
MANSA,-11.213347,28.894581,280,Mr. Wintony Chiboli,,ALong Chembe Road
NCHELENGE,-9.352486,28.738443,400,Mr. Grandwell Chilukuta,,ZRCS Project Offices
CHILANGA,-15.561631,28.272441,71,Mr. Kenneth Siajuwa,,Munda Wanga Garden
LUSAKA,-15.415147,28.311778,502,Mr. Emmanuel Chibwe,,Lusaka Redcross Office
CHONGWE,-15.332565,28.678948,11,Mr. Kennedy Tembo�,,Chongwe Secondary School
SIAVONGA,-16.535505,28.714227,90,Mr. Felix Mungalatu,,Siavonga
CHAVUMA,-13.082801,22.688237,30,Mr. Jacob Samalapa,,District Admin Office
KABOMPO,-13.594392,24.202194,60,Mr. Hendrick Solochi,,District Admin Office
MAYINGA,-13.395631,24.314482,110,Mr. Ding'ombi Samanenga,,Muza
SOLWEZI,-12.168191,26.391262,200,Mr. Evans Chisengalumbwe�,,Provincial Admin
ZAMBEZI,-13.543911,23.112015,43,Mr. Crispin Machayi,,District Admin Office
LUWIINGU,-10.248876,29.91899,50,Mr. Collins Makome,,Building Offices
MPULUNGU,-8.763652,31.107261,35,Mr. Bornface Kabwe,,Mpulunga Habour
MUNGWI,-10.169557,31.347513,110,Mr. Siyanga Silishebo,,Chawama Hill Mungwi
NSUMBU,-8.523548,30.476298,225,Mr. Friday Chisulo,,National Assembly Office
KAPUTA,-8.47244,29.665993,43,Mr. White Mwila,,Kapata District Hospitaal
CHOMA,-16.805746,26.995703,30,Mr. Regan Mwiiya,,Choma Boma
KAZUNGULA,-17.779956,25.2788,25,Mr. F. Syulikwa�,,District Admin Office
LIVINGSTONE,-17.849873,25.852932,223,Mr. Charles Ndopu,,Henry Dunant Lodge
MAZABUKA�,-15.855669,27.756056,280,Mr. Cosmas Beenzu,,Galaba House
NAMWALA,-15.752564,26.441002,20,Mr. Patrick Kalaluka,,District Admin Office
LIMULUNGA�,-15.12665,23.151112,10,Mr. Muyapekwa Mbumwae,,�Constituency �Office
MONGU,-15.267789,23.142807,48,Mrs. Mukendwwa Nanzila,,Along Mongu Road Lusaka
SISHEKE,-17.476738,24.287832,157,Mr. Timothy Simpindu,,District Admin office
