County,sub_county,ward,Location,Sub_Location,other,scene,deaths,missing,injured,hh.destroyed,hh.damaged,hh.affected,hh.displaced,hh.evacuated,p.affected,p.displaced,p.evacuted,services.disrupted,roads,lost.livestock,bridge,schools,latrine,wall,hospitals,drainage,inst.church.mosque,health_center,acreage.crops.destroyed,cholera_outbreak,cholera.cases,situation,data_source,dref no,glidenumber,Date,flood
Isiolo,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,170 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,150 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,120 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,70 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,50 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,40 households were affected,disinventer,,,24/05/2005,1
Isiolo,,,Merti,Merti,,Merti,,,,,,,,,,,,"roads,schools",1,350,,,,,,,,,,,,,dref,05me032,-,31/05/2005,1
Isiolo,,,,,,,,,,,,3200,,,,,,roads,1,,,,,,,,,,,,,roads are impassable,disinventer,,,06/04/2006,1
Isiolo,,,,,,,3,,,,354,,,,,,,,,,,,,,,,,,,,,,disinventer,,,26/10/2006,1
Isiolo,,,,,,,4,,2,355,,,,1775,,,,,,,,,,,,,,,,,,,disinventer,,,27/10/2006,1
Isiolo,,,,,,,4,,,,,,355,,,,,,,,,,,,,,,,,,,,dref,mdrke003,fl-2006-000159-ken,10/11/2006,1
Isiolo,,,,,,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,dref,kenya: floods update no.12,-,13/01/2007,1
Isiolo,,,,,,,,,,,,,,,,,,drainage,,,,,,,,1,,,,,,"culvert destructed, broken water drainage",disinventer,,,01/12/2009,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/03/2010,1
Isiolo,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,"buffalo serena bridge, 200 families were affected",disinventer,,,03/03/2010,1
Isiolo,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,04/03/2010,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,20/04/2010,1
Isiolo,,,,,"Nyambera, Isiolo","Nyambera, Isiolo",1,,,,,,,,,,,,,,,,,,,,,,,,,,dref,14_may_2010mdrke012,,30/04/2010,1
Isiolo,,,,,"Isiolo,Garfasa Area In Garbatula District","Isiolo,Garfasa Area In Garbatula District",,,,,,,200,,,,,,,,,,,,,,,,,,,,dref,14_may_2010mdrke012,,14/05/2010,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/03/2011,1
Isiolo,,,,,Isiolo,Isiolo,,,,,,,1010,,,,,,,,,,,,,,,,,,,,dref,dec_12th_2011_mdrke020,,12/12/2011,1
Isiolo,,,,,Laga Ali Wario,Laga Ali Wario,3,0,0,,,14,,,,,,,,,,,,,,,,,,,,isiolo county flash floods at laga ali wario 15km from shaab kachuru rains at 0230hrs and 3 people reported dead with 14 hh affected unknown number of animals swept.,eoc,,,13/10/2012,1
Isiolo,,,,,Sericho Garbatulla,Sericho Garbatulla,0,0,0,,,,,,,,,,,,,,,,,,,,,,,floods reported in sericho garbatulla area in isiolo with unknown number of families marooned.,eoc,,,05/04/2013,1
Isiolo,,,,Korbesa,,Korbesa,0,0,0,,,610,,,,,,,,,,,,,,,,,,,,"at 2104hrs, a floods incident was reported to eoc in korbesa in merti. the area has been cut off by floods and 360 hh affected. dadachbasa was also cut off by floods 250hh affected. situation in these areas was reported to be dire as communities living in these areas were totally isolated.",eoc,,,12/04/2013,1
Isiolo,,,,,Gafarsa Town,Gafarsa Town,0,0,0,,,,,,,,,,,,,,,,,,,,,,,eoc received information that river ewaso nyiro river had burst its banks and flooded gafarsa town.,eoc,,,15/04/2013,1
Isiolo,,,,,"Gafarsa ,Kombolo And Muchuro","Gafarsa ,Kombolo And Muchuro",0,0,0,,,,,,,,,,,,,,,,,,,,158,,,"eoc received an alert of floods following heavy rainfall in gafarsa ,kombolo and muchuro.its reported that 158 farms were destroyed. a team for assessment has been sent from the isiolo branch and a detailed report will be relayed later",eoc,,,09/11/2013,1
Isiolo,,,Garba Tulla,,,Garba Tulla,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"at 1407hrs, eoc received reports a drowning incident in garba tulla in isiolo county. this was caused by the heavy rains reported in the area on the night of 15th march 2014. the rains caused flooding of seasonal rivers in the area. search and rescue efforts led by the krcs isiolo branch are currently ongoing to find the missing person",eoc,,,16/03/2014,1
Isiolo,,,,,Isiolo,Isiolo,0,0,0,,,,,,,,,classrooms,,,,1,,,,,,,,,,"at 2045hrs, bitacha reported heavy down pour with hailstorms in isiolo county. all streets in the town and villages of safi estate, shauri yako, odha among others were soaked in waters. 5 classrooms of waso primary school were blown off and an acacia tree fell on one of the classrooms. branch response team confirmed that no injuries occurred",eoc,,,20/11/2014,1
Isiolo,,,,,Isiolo Town,Isiolo Town,0,0,0,,,,,,,,,,,,,,,,,,,,,,,at 1600hrs e.o.c captured reports of flooding in isiolo town following heavy downpour lasting about half an hour. sections of the town’s streets were sub-merged leaving them impassable. the floods were attributed to poor drainage system in the town; the flooded water later drained allowing access to the affected areas.,eoc,,,01/04/2015,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on the night of thursday 16th april 2015 there was heavy down pour at mt kenya forest and surrounding areas causing heavy runoff which drained in isiolo river. this caused the river to overflow and broke banks destroying crops grown 100m on either side.,disinventer,,,16/04/2015,1
Isiolo,,,,,Isiolo,Isiolo,0,0,0,,,,,,,,,,,,,,,,,,,,,,,at 0915hrs gitonga (county manager) reported flood case in isiolo county. significant rainfall received in the area led to destruction of various roads in the area like garbatulla-sericho road and isiolo-garbatula road were damaged paralyzing transport in the area. area county government in conjunction with krcs did an assessment to see how they can assist the residents.,eoc,,,11/11/2015,1
Isiolo,,,,,Isiolo,Isiolo,0,0,0,,,21,10,,,,,,,,,,,,,,,,,,,"at 1019hrs gitonga (county manager) reported a flooding incident at manyatta zebra in isiolo county following heavy rainfall experienced in the area, the floods affected approximately 21hh, so far 10hh have been relocated by krcs.",eoc,,,14/11/2015,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ewaso nyiro river burst its banks causing floods.,disinventer,,,15/11/2015,1
Isiolo,,,Merti,Merti,,Merti,0,0,0,,,200,,,,,,,,,,,,,,,,,,,,"gitonga (krcs county manager) reported a floods incident in merti isiolo county at 0832hrs. r.ewaso nyiro burst its bank and caused flash floods in merti area, river ewasso nyiro burst its bank and leading to flash floods in merti area, 200 hhs were affected.krcs are conducting an assessment.",eoc,,,16/11/2015,1
Isiolo,Bura,Bura,Bura,Bura,,Bura,0,0,0,,,,,,,,,,,,,,,,,,,,,,,at 2121hrs abdi (0705582853) reported of heavy rains in most parts of isiolo county which lead to floods in bura peas’ area. approximately 65hhs were affected.krcs isiolo will conduct assessment to confirm the extent of damage and share the report today. (brief: 100hh affected),eoc,,,21/11/2015,1
Isiolo,,,,,Kulamawe And Mbalambate,Kulamawe And Mbalambate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 1030hrs gitonga (krsc county manager) reported a case of floods in isiolo county. heavy rains received in kulamawe and mbalambate locations in isiolo county, reports indicate that unknown number of houses have been submerged. assessment is set to be done by the branch.",eoc,,,22/11/2015,1
Isiolo,,,,,Galmala,Galmala,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 1005hrs gitonga (krcs county manager) reported flooding incident due to heavy rainfall experienced in isiolo county. following the heavy downpour in the county, an incident was reported in galmala area. 15 shops in galmala area along the isiolo marsabit road have been flooded. (brief; 15shops)",eoc,,,30/11/2015,1
Isiolo,,Modogashe,Modogashe,Modogashe,,Modogashe,0,0,0,,,58,,,,,,road cut,1,,,,,,,,,,,,,"at 2010hrs e.o.c received information via social media regarding floods in modogashe affecting 58hh after heavy rains experienced in the area and the roads cut off, krcs team to conduct an assessment and share report.",eoc,,,30/11/2015,1
Isiolo,,,,,Modagashe,Modagashe,0,0,0,,,58,,,,,,roads impassable,1,,,,,,,,,,,,,at 1130hrs gitonga (krcs county manager) reported a case of floods in isiolo county. heavy rains received in modagashe area lead to flash floods submerging of approximately 58 houses. no reports of damages or injuries were reported. garbaturra-modagashe road was rendered impassable.,eoc,,,01/12/2015,1
Isiolo,,,,,Isiolo,Isiolo,0,0,0,,,10,20,,,,,roads impassable,,222,,,,,,,,,,,,"at 0906hrs, gitonga krcs county manager) reported of a floods incident in isiolo county. in ruiri location, flash floods were experienced and led to the displacement of 20 households, most roads in the area were also rendered impassable. in rumati, oldoinyiro 10 households were affected and 222 livestock swept away (200 shoats, 7 donkeys and 15 camels). (brief; 20hhs; livestock; 222)",eoc,,,15/12/2015,1
Isiolo,,,,,Garbatullah,Garbatullah,0,0,0,,,10,,,,,,road cut,1,,,,,,,,,,,,,"krcs isiolo at 1530hrs reported floods in garbatullah after heavy downpour that has affected approximately 10hh, krcs response team cannot access the area due to cut off roads by the raging waters. krcs team waiting for water to subside so as to carry out assessment and necessary intervention in the affected areas. (brief: 10hh)",eoc,,,29/04/2016,1
Isiolo,,,Merti,Merti,,Merti,0,0,0,,,800,,,,,,,,,,,,,,,,,,,,"at around 1130hrs talaso (krcs rm) reported of floods at isiolo citing overflowing of ewasso nyiro river due to heavy down pour witnessed the previous night. the surface water subsided, no casualties reported however about 800 households were affected. krcs isiolo sensitized affected community to be moving to higher grounds upon heavy down pour.  need for nfi’s is one of the major requirements by the affected",eoc,,,22/10/2017,1
Isiolo,,,Merti,Merti,,Merti,0,0,0,,,808,,,,,,,,,,,,,,,,,,,,talaso (krcs) reported flash floods at merti area after river ewaso nyiro broke its banks and caused flash floods.assesment was done by krcs team in the area area and 555 house holds were affected in the northern side while 253 house holds affected o the southern side.,eoc,,,14/11/2017,1
Isiolo,,,,,Nyaro Mora,Nyaro Mora,0,0,0,,,,,,,,,,,,,,,,,,,,,,,fredric (0718313175) reported flood to e.o.c at 0036hrs in nyaro mora near archers. many people have been displaced by the flood. no one was injured. krcs team to conduct assessment,eoc,,,15/11/2017,1
Isiolo,,,,,Isiolo Town - Isiolo Airport Road Junction (Merire Lagga.),Isiolo Town - Isiolo Airport Road Junction (Merire Lagga.),4,,,,,500,1260,na,,,,perimeter masonary wall along the merire lagga collapsed.inundated buildings next to the lagga.,,0,,,,1,,,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Isiolo River Basin: Matunda-Lewa Gabbions-West Marania River.,Isiolo River Basin: Matunda-Lewa Gabbions-West Marania River.,0,,,,,60,,na,,,,gabbions and the drainage canals in good conditions.,,0,,,,,,1,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Isiolo River Basin: Kithima River- Maili Saba Rgs 5da03,Isiolo River Basin: Kithima River- Maili Saba Rgs 5da03,0,,,,,25,,na,,,,"crops swept away, blocked bridge culverts.",,0,1,,,,,,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Isiolo River Basin: Ruiri-Isiolo Road Junction Culverts.,Isiolo River Basin: Ruiri-Isiolo Road Junction Culverts.,0,,,,,10,,na,,,,"blocked culverts, inundated farms.",1,0,,,,,,1,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Isiolo River Basin : Mugae Shopping Centre,Isiolo River Basin : Mugae Shopping Centre,0,,,,,na,,na,,,,"drainage channels clear, no blockage witnessed.",,0,,,,,,1,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Isiolo River Rgs 5da 07,Isiolo River Rgs 5da 07,0,,,,,20,,na,,,,silted up isiolo water supply intake canal,,0,,,,,,,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,Bulla Pesa (Soko Ya Mbuzi),Bulla Pesa (Soko Ya Mbuzi),0,,,,,300,,,,,,inundated residential houses,,,,,,,,,,,,,,,wra,,,15/03/2018,1
Isiolo,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,inundated residential houses,disinventer,,,15/03/2018,1
Isiolo,,,,,Dadacha,Dadacha,0,0,0,,,,,,,,,road impassable,1,,,,,,,,,,,,,talaso krcs upper eastern notified e.o.c at around 1100hrs of flash floods at dadacha area of merti isiolo county following heavy down pour witnessed in the last 2 days. the floods have destroyed road network at dadacha area making the area inaccessible hindering isiolo krcs from conducting an assessment. the community is in risk of starvation upon depleting of stocks hence they are appealing for intervention from both state and non-state actors,eoc,,,09/04/2018,1
Isiolo,,Sololo,Sololo,,,Sololo,0,0,0,,,608,,,,,,,,,,,,,,,,,,,,flood incident reported in basa/yamicha/alango in isiolo north sub county at 1737hrs affecting 608hh with roads rendered impassable for over 3 weeks. krcs team conducting assessment in the area and sensitizing safety measures to be undertaken by the locals living in flood prone areas,eoc,,,17/04/2018,1
Isiolo,,,Oldonyiro,Oldonyiro,,Oldonyiro,0,2,0,,,,,,,,,,,,,,,,,,,,,,,talaso (krcs) reported to e.o.c at 2020hrs of a flash flood incident due to heavy rainfall in isiolo oldonyiro sub county. two teenagers of 14 and 16 years were swept away by the water. their bodies have not yet been found. krcs team searching for the bodies.,eoc,,,23/04/2018,1
Isiolo,,,,,Isiolo,Isiolo,0,0,0,,,,,,,,,roads impassable,1,,,,,,,,,,,,,josephine via 0702503757 reported flash floods at isiolo town at around 1241hrs as a result of an ongoing heavy rainfall. the floods have since washed away water and sewerage pipelines exposing the community to water borne diseases. krcs team and isiolo county response team are on ground in effort to salvage the situation. donation distribution of other areas earlier reported and with impassable roads is currently being done through air drops.,eoc,,,23/04/2018,1
Isiolo,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,two teenagers of 14 and 16 years were swept away by the water. their bodies have not yet been found,disinventer,,,23/04/2018,1
Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the floods have since washed away water and sewerage pipelines exposing the community to water borne diseases. donation distribution of other areas earlier reported and with impassable roads is currently being done through air drops.,disinventer,,,23/04/2018,1
Isiolo,,,Merti,Merti,,Merti,0,0,0,,,,250,,,,,,,,,,,,,,,,,,,"flash floods were reported at merti after river ewaso ngiro bursts its banks and displaced over 250hhs mostly affecting shauri yako,taqwa,shambole,and some part of manyatta, also crocodiles reported to have been swept inland posing danger to the affected population. rcat isiolo to conduct assessment. (",eoc,,,27/04/2018,1
Kajiado,,,,,Kajiado,Kajiado,3,,,,,,,,,,,,,,,,,,,,,,,,,,dref,6_jan_2010_mdrke011,,04/11/2009,1
Kajiado,,,,,,,8,,,4,10,,,,,,,,,,,,,,,,,,,,,waters from the heavy storm of rainfall formed a seasonal river and streamed downhill. 8 people who were crossing a road were swept by the floods and [...],disinventer,,,25/12/2009,1
Kajiado,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,28/12/2009,1
Kajiado,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/01/2010,1
Kajiado,Kajiado North,,,,,Kajiado North,3,,,,,60,,,,,,,,,,,,,,,,,,,,,dref,6_jan_2010_mdrke011,,06/01/2010,1
Kajiado,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,03/03/2010,1
Kajiado,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,ngong area recieved heavy pounding from around 2000hrs on 9th may to 10th may nonstop. roads were rendered impassable and heavy boulders were [...],disinventer,,,09/05/2010,1
Kajiado,,,,,Kajiado,Kajiado,2,,,,,,,,,,,,,,,,,,,,,,,,,,dref,14_may_2010mdrke012,,14/05/2010,1
Kajiado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,fl-2010-000003-ken,01/07/2010,1
Kajiado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,ff-2012-000062-ken,01/03/2012,1
Kajiado,,Kitengela,,,,Kitengela,0,0,0,,,,,,,,,,,,,,,,,,,,,,,flash floods were reported in new valley kitengela and unknown number of houses submerged with water rising up to 4ft. no death or injuries were reported except several households affected and people marooned on rooftops while 5 people were rescued by kenya police and community volunteers. more updates to follow after assessment.,eoc,,,23/04/2012,1
Kajiado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 homesteads with all the properties were swept,disinventer,,,24/04/2012,1
Kajiado,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,04/05/2012,1
Kajiado,,,,,Nkoroi,Nkoroi,4,0,0,,,,,,,,,,,,,,,,,,,,,,,a car was swept away with 4 passengers onboard who were later on found drowned and dead.,eoc,,,05/05/2012,1
Kajiado,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,07/05/2012,1
Kajiado,,,,,"Kitengela, Ngong, Athi River","Kitengela, Ngong, Athi River",,,,,,,459,,,,,,,,,,,,,,,,200,,,,dref,may_8th_2012_mdrke022,,08/05/2012,1
Kajiado,,Ngong,Ngong,,,Ngong,4,,,,,,,,,,,,,,,,,,,,,,,,,,dref,june_11th_2012_mdrke023,,11/06/2012,1
Kajiado,,Kitengela,,,,Kitengela,,,,,,,500,,,,,,,,,,,,,,,,,,,,dref,june_11th_2012_mdrke023,,11/06/2012,1
Kajiado,,,,,River Mashuru,River Mashuru,1,1,0,,,,,,,,,,,,,,,,,,,,,,,"a lorry driver and a female passenger drowned in a flooded river in kajiado county, the driver had parked the lorry near r. mashuru to harvest sand on wednesday night unaware that floods water were cascading from kajiado hills. the driver?s body was retrieved and taken to a local mortuary. residents and police are searching for the female passenger.",eoc,,,20/03/2013,1
Kajiado,,,,Kiboko,,Kiboko,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"a.s.g wangechi reported flash floods that were reported from kiboko after r.kiboko burst bank, 5 male rescued by kibwezi branch after they were trapped. this was caused by heavy rains from kajiado at 0800hrs, the area chief and ocs on the ground as rapid assessment was done.",eoc,,,20/03/2013,1
Kajiado,,,,,Kiserian,Kiserian,1,0,0,,,,,,,,,,,,,,,,,,,,,,,"a man 50yrs was swept by floods along magadi road in kiserian, kajiado county following a heavy down pour.",eoc,,,21/03/2013,1
Kajiado,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,swept away by running waters after heavy downpour,disinventer,,,29/03/2013,1
Kajiado,Rongai,,Rongai,,,Rongai,0,0,5,,,,,,,,,,,,,,,,,,,,,,,"at 0200hrs, a 14-seater matatu was swept away by the raging floods at the same river with 5 passengers on board. eoc informed the nairobi city council and the kenya police who sent teams to help with the search and rescue. the passengers were rescued and treated at a local hospital for minor injuries sustained in the incident.",eoc,,,31/03/2013,1
Kajiado,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,one person was swept away by floods about 500 meters away.,disinventer,,,01/04/2013,1
Kajiado,,,,,Kiserian,Kiserian,0,0,0,,,,,,,,,,,,,,,,,,,,,,,at 0143hrs stephen mwangi (0723990967) reported three homesteads that were covered by waters at kiserian after a dam burst its banks after heavy down pour of rains. eoc advised the community to move to high grounds and reported the incident to the red cross regional office.,eoc,,,08/04/2013,1
Kajiado,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,body retrieved 500 metres downstream,disinventer,,,13/04/2013,1
Kajiado,,,,Isinya,,Isinya,14,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 1913hrs, eoc media monitoring captured a crisis which happened while a probox was plying from emamparisuai to loitoktok carrying 10 people. the car was swept away at river egirgirri and all people drowned and the bodies were retrieved and taken to shalom hospital – kitengela. according to the krcs branch coordinator kajiado, the disaster happened around 1000hrs.",eoc,,,15/12/2013,1
Kajiado,,,,,Olok,Olok,1,0,0,,,,,,,,,,,,,,,,,,,,,,,flash floods were reported in namanga town following heavy rains experienced in the area from yesterday (15th feb 2014) at 4 pm to around 3 am today (16th feb 2014).  river namanga burst its banks and flooded displacing people settled along the river in namanga town. the most affected areas include areas near riverside hotel and on both sides of the main tarmac road. women and children were moved away from the site at 2 am with the help of government administration and were housed by well-wishers. the body of a child who had earlier been reported as missing was recovered by search and rescue team led by krcs kajiado branch volunteers.,eoc,,,16/02/2014,1
Kajiado,,,Namanga,Namanga,,Namanga,0,0,0,,,,,,,,,classrooms,,,,1,,,,,,,,,,"on 15th march 2014, heavy rainfall was reported in namanga accompanied by heavy winds that blew off the roof tops of two classes at eluanata primary school. no injuries were reported as the incident happened at night when there were pupils in the class rooms.",eoc,,,14/03/2014,1
Kajiado,,,,,Nonkoopir,Nonkoopir,0,0,0,,,4,,,,,,,,,,,,,,,,,,,,"at 2040hrs, judith (0723729192) reported flash floods after a heavy pour of rains at nonkoopir in kitengela. 4 hh were affected. eoc informed area chief (0722793649) for temporary measures",eoc,,,30/11/2014,1
Kajiado,,,,,Ngatataek,Ngatataek,2,0,0,,,10,,,,,,,,,,,,,,,,,,,,"at 0744hrs, michael (krcs nairobi branch) reported a flash flood that occurred at ngatataek river broke its banks, 2 people were swept away an (elderly lady and a 6yr old)in kajiado county at about 0100hrs, bodies were recovered and this morning and taken to kajiado county hospital morgue. assessment was conducted today by krcs team and reported 10 households were affected. (brief: 2 fatalities 10hh)",eoc,,,05/05/2015,1
Kajiado,,,,,,,1,,,,,,,,,,,road,1,,,,,,,,,,,,,murram roads were destroyed.,disinventer,,,10/11/2015,1
Kajiado,,,,,Loitoktok,Loitoktok,0,0,0,,,,,,,,,wall,,,,,,1,,,,,,,,"nyaga (0728157168) reported a flash flood incident in loitoktok at simba cement and the neighboring shopping centre at 1230hrs in kajiado south, the perimeter wall for the company was reported to have collapsed and several hh affected and no casualties reported from incident after a whole night downpour. the affected families advised to seek temporary shelter at a nearby school.",eoc,,,09/02/2016,1
Kajiado,,,,Isinya,,Isinya,0,0,0,,,30,,,,,,,,19,,,,,,,,,,,,"at 0405hrs, david (0721355361) reported of a case of floods at isinya, kajiado county. the water level at river isinya increased beyond its capacity and broke its bank. assessment was conducted today by krcs kajiado and the results were 30 households were affected, 6 goats were reported missing, 5 goats and 8 chicken were swept away by flash floods. no fatality or injury was reported .latrines have also collapsed and flower farm chemicals were swept away from a factory and spilled to compounds creating a health risk to the residents.(brief;30hhs;11goats;8chicken)",eoc,,,11/02/2016,1
Kajiado,,,,,Kajiado,Kajiado,2,,,,,68836,,0,,,,roads cut off,1,,,,,,,,,,,,,,wra,,,03/01/2018,1
Kajiado,,,,,Mile Saba,Mile Saba,0,0,0,,,35,,,,,,,,,,,,,,,,,,,,"leonard (krcs kajiado) reported of flash floods in mile saba area along kajiado- namanga road at 1420hrs. the heavy down pour wreaked havoc to the area, about 35hhs were affected. some sections of roads were also cut off. the affected families are in need of shelter",eoc,,,06/03/2018,1
Kajiado,,,,,Kajiado,Kajiado,0,0,0,,,,,,,,,road cut,1,,,,,,,,,,,,,"various floods related incidents were captured at isinya, kitengela, athi river and kiserian in kajiado county as from 1030hrs.  a personal vehicles was swept away by raging floods along kajiado- namanga road, two occupants on board managed to escape before the catastrophe. one middle aged man who was a passenger   was swept away in kiserian on his way to work.  the body was retrieved and taken to the morgues. in kisaju village, kitengela at least eleven people were marooned in their homes before the surface water drained off.  machakos – nairobi was cut off at athi stone disrupting the normal transport, motorists were advised to use alternative routes. green park estate in kitengela is amongst the areas that experienced flash floods. residents leaving in lowlands",eoc,,,16/03/2018,1
Kajiado,,Kimana,,Kimana,,Kimana,0,0,0,,,,,,,,,,,,,,,,,,,,,,,mr. kipkemei via 0722849565 reported flash floods at kimana area of kajiado county at around 1209hrs. several people were reportedly seeking refuge from trees after being marooned by swollen orbin river following heavy rains in loitoktok area in kajiado. rescue efforts are ongoing facilitated by kajiado krcs and county disaster team. the situation remains active.,eoc,,,19/03/2018,1
Kajiado,,,,,Nginye,Nginye,1,0,0,,,,,,,,,,,,,,,,,,,,,,,a drowning incident was reported at nginye area in kajiado county by leonard (krcs kajiado) a t 1030hrs. an adult man was swept away by raging floods as he was attempting to cross the road after the river had swollen. search and recovery was conducted and the body was retrieved and taken to a morgue in kitengela,eoc,,,20/03/2018,1
Kajiado,,,,,Loitoktok,Loitoktok,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"leonard (0716771972) reported to e.o.c at 1943hrs of an incident where a woman was carried away by the flash floods in loitoktok kajiado county, the woman was in company of 6 others who were rescued by well-wishers. the body of the lady is still missing, krcs kajiado and the county government working together in searching of the body.",eoc,,,22/04/2018,1
Kajiado,,,,Isinya,,Isinya,0,0,0,,,35,,,,,,,,,,,,,,,,,,,,"at 1857hrs, isinya/kisaju in kajiado county, flash floods situation assessment, 35 households integrated with their relatives and neighbors. they have been advised not to go back until rains seize since this is the second time the village has been affected within a period of one month.",eoc,,,23/04/2018,1
Kajiado,,,,,Kisaju,Kisaju,0,0,0,,,32,,,,,,,,,,,,,,,,,,,,"at 1318hrs, leonard krcs kajiado reported response progress in kisaju area of kajiado earlier affected by following heavy rainfall. needs assessment facilitated by kajiado rcat recorded 35 hhs amounting to 132 people affected. the population is dire need of temporary shelter, fis and nfis to assist them before returning to their usual residential. krcs team is working with the county government to restore normalcy",eoc,,,23/04/2018,1
Kajiado,,,,,Kajiado,Kajiado,3,0,0,,,,,,,,,,,,,,,,,,,,,,,leonard (krcs kajiado) reported flash floods in kajiado county. river oltinga burst its banks due to heavy rains experienced in the area and destroyed approximately 10 households.  three people were thereafter buried by mudslides in kajiado and their bodies taken to kiserian hospital mortuary,eoc,,,02/05/2018,1
Kajiado,Rongai,,Rongai,,,Rongai,0,7,0,,,,,,,,,,,,,,,,,,,,,,,steven via 0721294516 at 2029hrs reported an incident where 7 people were reportedly swept away by raging waters while crossing a bridge at river kandisi near nairobi w women’s hospital in ongata rongai. search and rescue efforts currently ongoing.,eoc,,,04/05/2018,1
Kajiado,,,,,Kajiado,Kajiado,0,0,0,,,50,,,,,,,,,,,,,,,,,,,,"flash floods were reported in kajiado county at 0802hrs after heavy downpour experienced overnight, kajiado rcat conducted assessments despite difficulties in accessing some areas and reported 50hhs affected and crops on the farms destroyed",eoc,,,14/05/2018,1
Kajiado,,,,,River Olkuado,River Olkuado,0,0,0,,,,,,,,,,,,,,,,,,,,,,,leonard (0716771972) reported to e.o.c of six people who were rescued yesterday at 2300hrs after their car was stuck near river olkajuado 6km from namanga road. one casually had drowned but was rescued by the krcs kajiado branch. all the six casualties were rescued and evacuated to a safer grounds,eoc,,,15/05/2018,1
Kajiado,,,,,Maili 46,Maili 46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 1305hrs, mainstream media captured protests at maili 46 area of kajiado county. residents were protesting against delayed response by leaders as bad conditions of roads have rendered the area unreachable following ravaging flash floods. no injuries reported.",eoc,,,21/05/2018,1
Kajiado,,,,,,,10,,na,,,,490,,,,,,,na,,5,,,,,,,na,,,,dref,june_11th_2018_mdrke043,,11/06/2018,1
Kakamega,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,14/05/2002,1
Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,01/01/2005,1
Kakamega,,,,,Mumias,Mumias,,,,,,,,,,500,,,,,,,,,,,,,6000,,,,dref,bulletin (no. 2/2006),,17/05/2006,1
Kakamega,,,,,Kuvasali,Kuvasali,20,,,,,6,,,,,,,,,,,,,,,,,,,,,wra,,,10/08/2007,1
Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,13/11/2008,1
Kakamega,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,21/02/2011,1
