serial,admin_level_0_code,admin_level_1_code,admin_level_2_code,admin_level_0_name,admin_level_1_name,admin_level_2_name,event,location,year,month,day,deaths,injured,missing,affected,houses_destroyed,houses_damaged,others,sources,losses $loc,losses $usd,date,health,education,agriculture,industry,aqueduct,sewerage,energy,communication,cause,damaged roads,magnitude,damaged hospitals,damaged education centers,damage in crops Ha.,lost cattle,evacuated,relocated,latitude,longitude,comments
18.0,210.0,210332.0,2103321352.0,KIBUKU,KAGUMU,NABULI,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,El Niño,0,,0,1,8.09,0,0,0,0.0,0.0,"A six-classroom block at Nabuli Primary school was de-roofed.
4.45 Ha of cassava and maize was destroyed by water logging.
3.64 Ha of cotton destroyed."
19.0,230.0,230335.0,2303351229.0,PALLISA,APOPONG,APOPONG,HAILSTORM,,2011,9,14,0,0,0,0,0,4,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,-1,0,-1,0,0,0,0,0,El Niño,0,,1,0,0.0,0,0,0,0.0,0.0,Apopong Health Unit and 2 staff houses were de-roofed.
20.0,210.0,210331.0,,KIBUKU,TIRINYI,,HAILSTORM,KALAMPETE PARISH,2011,9,14,0,0,0,0,0,6,,Report on Destruction Caused by El-Nino Rains in Pallisa District - OPM,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,El Niño,0,,0,1,0.0,0,0,0,0.0,0.0,A four-classroom block at Kalampete Primary School was de-roofed.
21.0,210.0,210328.0,2103281379.0,KIBUKU,BUSETA,KASASIRA,HAILSTORM,,2011,9,14,0,0,0,0,0,3,A pit latrine at Kasasira Primary School de-roofed.,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,-1,-1,0,0,-1,0,0,El Niño,0,,0,1,0.0,0,0,0,0.0,0.0,A staff house at Kasasira Primary School de-roofed.
22.0,210.0,210328.0,2103281370.0,KIBUKU,BUSETA,NANKODO,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,El Niño,0,,0,1,7.28,0,0,0,0.0,0.0,"A two-classroom block at Nankodo Primary School was partly de-roofed and the wall broke.
7.28 Ha of cassava and maize were destroyed by water logging."
17.0,217.0,217426.0,2174261445.0,BUDAKA,NABOA,NABOA,FLOOD,,2011,9,14,0,0,0,0,6,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,9.31,0,0,0,0.0,0.0,"9.31 Ha of cassava, maize and beans destroyed by water logging."
23.0,217.0,217421.0,2174211474.0,BUDAKA,BUDAKA,SAPIRI,FLOOD,,2011,9,14,0,0,0,0,4,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,6.48,0,0,0,0.0,0.0,"6.48 Ha of cassava, beans and maize destroyed by water logging."
26.0,217.0,217423.0,2174231360.0,BUDAKA,KADERUNA,KACHOMO,HAILSTORM,,2011,9,14,0,0,0,0,0,7,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,6.07,0,0,0,0.0,0.0,"3.64 Ha of cassava nad beans destroyed by water logging.
2.43 Ha of cassava and beans destroyed by hailstorm."
27.0,217.0,217425.0,,BUDAKA,LYAMA,,FLOOD,LINGOLE PARISH,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,24.28,0,0,0,0.0,0.0,"13.76 Ha of cassava and maize destroyed by water logging.
10.52 Ha of cassava, maize and beans destroyed by water logging."
29.0,217.0,217424.0,2174241365.0,BUDAKA,KAMONKOLI,MUGITI,HAILSTORM,,2011,9,14,0,0,0,0,0,0,The Toilet of Nasinyi Primary School was de-roofed.,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,-1,0,0,El Niño,0,,0,0,6.07,0,0,0,0.0,0.0,"6.07 Ha of cassava, beans and maize was destroyed by water logging."
