,date,subregion,district,county,subcounty,sentence,article_title,article_url
0,2017-09-02,,AMUDAT,POKOT,,"These include Baringo, Garissa, Isiolo, Marsabit, Kilifi, Kwale, Tana River, Lamu, Mandera, Wajir, Samburu, Turkana and West Pokot.  ","Kenya experiencing one of the worst drought, depressed villagers are opting for suicide",https://capitalradio.co.ug/kenya-experiencing-one-worst-drought-depressed-villagers-suicide/
1,2017-07-09,,"NTUNGAMO, BUSHENYI, MARACHA, IGANGA, NEBBI, NAMUTUMBA, KIRYANDONGO, ISINGIRO","ISINGIRO, MARACHA","NAMUTUMBA, NTUNGAMO, NEBBI, KIRYANDONGO","They include Arua, Maracha, Nebbi, Yumbe, Iganga, Kiryandongo, Namutumba, Isingiro, Ntungamo, Bushenyi, Kasese, Kabale, and Kyenjojo among others.  ","Ugandans are faced with food insecurity, officials blame it on past drought",https://capitalradio.co.ug/ugandans-faced-food-insecurity-officials-blame-past-drought/
2,2017-04-24,,GULU,,,Persistent drought dries up Dam in Gulu. ,Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
3,2017-04-24,,GULU,,,Persistent drought dries up Dam in Gulu  ,Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
4,2017-04-24,,GULU,,,Two large dams supplying water to Gulu town have finally dried up completely following the persistent drought in Northern Uganda.,Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
5,2017-04-24,,GULU,ASWA,BUNGATIRA,"The dams are Oyitino I constructed in the late 1960s and Oyitino II built in 2016, all in Bungatira Sub County in Aswa County.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
6,2017-04-24,,GULU,,,"Every day, long queues form around few boreholes in Gulu town as desperate residents collect the little water they can fetch from swamps, spring wells and piped water sources.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
7,2017-04-24,,GULU,,,She told URN the dilemma of women living in Gulu town.  ,Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
8,2017-04-24,,"WAKISO, GULU",,"BUNGATIRA, BAR-DEGE, DIVISION A","37 year old David Oryema, a resident of Kasubi Central ward in Bar Dege Division, says he travels an average of 5Km on a motorbike to fetch six jerrycans of water for his family from a borehole within Oyitino pumping site in Bungatira Sub County.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
9,2017-04-24,,GULU,,,"In March, the Gulu court and magistrate courts suspended trial proceedings to cope with the deteriorating sanitation crisis that also affected Gulu regional and teaching hospital.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
10,2017-04-24,,GULU,,,"To mitigate the unfolding crisis, National Water and Sewerage Corporation has stationed a response team in Gulu town to ensure that temporal solutions are found for the problem.",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
11,2017-04-24,,GULU,,,"Owot told URN that they are desperately scouring areas in the North, South, East and West of Gulu town for large underground water reserves to restore supply to residents in the northern Uganda business hub.",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
12,2017-04-24,,GULU,,UNYAMA,"The three boreholes in Unyama, Onang and Mican villages can collectively generate 900,000 liters of water every day.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
